1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2D0000008175C841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 14:10:01 PDT 2025
Mission Sample Count:  3759
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 14:10:01 PDT 2025
Total Mission Samples:  3759
Total Device Samples:  16440
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 2:10:01 PM,C,30.543
7/27/25, 2:20:01 PM,C,21.044
7/27/25, 2:30:01 PM,C,20.543
7/27/25, 2:40:01 PM,C,25.045
7/27/25, 2:50:01 PM,C,28.044
7/27/25, 3:00:01 PM,C,27.545
7/27/25, 3:10:01 PM,C,27.545
7/27/25, 3:20:01 PM,C,23.545
7/27/25, 3:30:01 PM,C,27.545
7/27/25, 3:40:01 PM,C,27.045
7/27/25, 3:50:01 PM,C,24.545
7/27/25, 4:00:01 PM,C,24.545
7/27/25, 4:10:01 PM,C,24.045
7/27/25, 4:20:01 PM,C,26.545
7/27/25, 4:30:01 PM,C,28.544
7/27/25, 4:40:01 PM,C,26.545
7/27/25, 4:50:01 PM,C,28.544
7/27/25, 5:00:01 PM,C,26.045
7/27/25, 5:10:01 PM,C,26.545
7/27/25, 5:20:01 PM,C,26.545
7/27/25, 5:30:01 PM,C,26.045
7/27/25, 5:40:01 PM,C,24.545
7/27/25, 5:50:01 PM,C,22.044
7/27/25, 6:00:01 PM,C,20.543
7/27/25, 6:10:01 PM,C,20.043
7/27/25, 6:20:01 PM,C,20.543
7/27/25, 6:30:01 PM,C,20.543
7/27/25, 6:40:01 PM,C,20.043
7/27/25, 6:50:01 PM,C,20.543
7/27/25, 7:00:01 PM,C,20.043
7/27/25, 7:10:01 PM,C,21.044
7/27/25, 7:20:01 PM,C,18.042
7/27/25, 7:30:01 PM,C,17.04
7/27/25, 7:40:01 PM,C,16.039
7/27/25, 7:50:01 PM,C,14.037
7/27/25, 8:00:01 PM,C,13.035
7/27/25, 8:10:01 PM,C,12.033
7/27/25, 8:20:01 PM,C,11.532
7/27/25, 8:30:01 PM,C,11.032
7/27/25, 8:40:01 PM,C,10.531
7/27/25, 8:50:01 PM,C,10.03
7/27/25, 9:00:01 PM,C,9.529
7/27/25, 9:10:01 PM,C,9.529
7/27/25, 9:20:01 PM,C,9.027
7/27/25, 9:30:01 PM,C,8.526
7/27/25, 9:40:01 PM,C,8.526
7/27/25, 9:50:01 PM,C,8.025
7/27/25, 10:00:01 PM,C,8.025
7/27/25, 10:10:01 PM,C,8.025
7/27/25, 10:20:01 PM,C,7.524
7/27/25, 10:30:01 PM,C,7.023
7/27/25, 10:40:01 PM,C,6.522
7/27/25, 10:50:01 PM,C,7.023
7/27/25, 11:00:01 PM,C,6.522
7/27/25, 11:10:01 PM,C,6.02
7/27/25, 11:20:01 PM,C,6.02
7/27/25, 11:30:01 PM,C,5.519
7/27/25, 11:40:01 PM,C,5.519
7/27/25, 11:50:01 PM,C,5.018
7/28/25, 12:00:01 AM,C,4.516
7/28/25, 12:10:01 AM,C,4.516
7/28/25, 12:20:01 AM,C,4.516
7/28/25, 12:30:01 AM,C,4.516
7/28/25, 12:40:01 AM,C,4.015
7/28/25, 12:50:01 AM,C,4.516
7/28/25, 1:00:01 AM,C,4.015
7/28/25, 1:10:01 AM,C,4.015
7/28/25, 1:20:01 AM,C,4.015
7/28/25, 1:30:01 AM,C,3.513
7/28/25, 1:40:01 AM,C,3.513
7/28/25, 1:50:01 AM,C,3.513
7/28/25, 2:00:01 AM,C,3.012
7/28/25, 2:10:01 AM,C,2.51
7/28/25, 2:20:01 AM,C,2.51
7/28/25, 2:30:01 AM,C,3.012
7/28/25, 2:40:01 AM,C,2.51
7/28/25, 2:50:01 AM,C,2.51
7/28/25, 3:00:01 AM,C,2.009
7/28/25, 3:10:01 AM,C,1.507
7/28/25, 3:20:01 AM,C,2.009
7/28/25, 3:30:01 AM,C,2.009
7/28/25, 3:40:01 AM,C,2.009
7/28/25, 3:50:01 AM,C,2.009
7/28/25, 4:00:01 AM,C,1.507
7/28/25, 4:10:01 AM,C,1.507
7/28/25, 4:20:01 AM,C,1.507
7/28/25, 4:30:01 AM,C,1.006
7/28/25, 4:40:01 AM,C,1.507
7/28/25, 4:50:01 AM,C,1.507
7/28/25, 5:00:01 AM,C,0.504
7/28/25, 5:10:01 AM,C,0.504
7/28/25, 5:20:01 AM,C,0.504
7/28/25, 5:30:01 AM,C,0.504
7/28/25, 5:40:01 AM,C,0.504
7/28/25, 5:50:01 AM,C,1.006
7/28/25, 6:00:01 AM,C,0.504
7/28/25, 6:10:01 AM,C,0.504
7/28/25, 6:20:01 AM,C,0.504
7/28/25, 6:30:01 AM,C,0.504
7/28/25, 6:40:01 AM,C,0.504
7/28/25, 6:50:01 AM,C,1.507
7/28/25, 7:00:01 AM,C,2.51
7/28/25, 7:10:01 AM,C,2.51
7/28/25, 7:20:01 AM,C,3.012
7/28/25, 7:30:01 AM,C,4.015
7/28/25, 7:40:01 AM,C,6.522
7/28/25, 7:50:01 AM,C,7.023
7/28/25, 8:00:01 AM,C,9.529
7/28/25, 8:10:01 AM,C,16.54
7/28/25, 8:20:01 AM,C,18.042
7/28/25, 8:30:01 AM,C,19.543
7/28/25, 8:40:01 AM,C,20.543
7/28/25, 8:50:01 AM,C,21.544
7/28/25, 9:00:01 AM,C,23.545
7/28/25, 9:10:01 AM,C,24.045
7/28/25, 9:20:01 AM,C,24.545
7/28/25, 9:30:01 AM,C,25.545
7/28/25, 9:40:01 AM,C,26.045
7/28/25, 9:50:01 AM,C,26.545
7/28/25, 10:00:01 AM,C,27.045
7/28/25, 10:10:01 AM,C,27.545
7/28/25, 10:20:01 AM,C,27.545
7/28/25, 10:30:01 AM,C,27.045
7/28/25, 10:40:01 AM,C,27.545
7/28/25, 10:50:01 AM,C,28.044
7/28/25, 11:00:01 AM,C,28.544
7/28/25, 11:10:01 AM,C,28.544
7/28/25, 11:20:01 AM,C,28.044
7/28/25, 11:30:01 AM,C,28.044
7/28/25, 11:40:01 AM,C,29.044
7/28/25, 11:50:01 AM,C,28.044
7/28/25, 12:00:01 PM,C,28.544
7/28/25, 12:10:01 PM,C,29.044
7/28/25, 12:20:01 PM,C,29.544
7/28/25, 12:30:01 PM,C,29.544
7/28/25, 12:40:01 PM,C,27.045
7/28/25, 12:50:01 PM,C,28.544
7/28/25, 1:00:01 PM,C,31.043
7/28/25, 1:10:01 PM,C,30.543
7/28/25, 1:20:01 PM,C,29.544
7/28/25, 1:30:01 PM,C,29.544
7/28/25, 1:40:01 PM,C,30.543
7/28/25, 1:50:01 PM,C,31.043
7/28/25, 2:00:01 PM,C,30.543
7/28/25, 2:10:01 PM,C,31.043
7/28/25, 2:20:01 PM,C,30.043
7/28/25, 2:30:01 PM,C,29.544
7/28/25, 2:40:01 PM,C,30.043
7/28/25, 2:50:01 PM,C,30.543
7/28/25, 3:00:01 PM,C,29.544
7/28/25, 3:10:01 PM,C,30.043
7/28/25, 3:20:01 PM,C,29.544
7/28/25, 3:30:01 PM,C,30.043
7/28/25, 3:40:01 PM,C,30.543
7/28/25, 3:50:01 PM,C,30.043
7/28/25, 4:00:01 PM,C,29.044
7/28/25, 4:10:01 PM,C,29.044
7/28/25, 4:20:01 PM,C,30.043
7/28/25, 4:30:01 PM,C,28.044
7/28/25, 4:40:01 PM,C,28.544
7/28/25, 4:50:01 PM,C,27.045
7/28/25, 5:00:01 PM,C,28.044
7/28/25, 5:10:01 PM,C,27.545
7/28/25, 5:20:01 PM,C,27.045
7/28/25, 5:30:01 PM,C,28.044
7/28/25, 5:40:01 PM,C,27.545
7/28/25, 5:50:01 PM,C,23.545
7/28/25, 6:00:01 PM,C,22.044
7/28/25, 6:10:01 PM,C,21.544
7/28/25, 6:20:01 PM,C,21.544
7/28/25, 6:30:01 PM,C,21.044
7/28/25, 6:40:01 PM,C,21.544
7/28/25, 6:50:01 PM,C,21.544
7/28/25, 7:00:01 PM,C,20.543
7/28/25, 7:10:01 PM,C,22.044
7/28/25, 7:20:01 PM,C,20.043
7/28/25, 7:30:01 PM,C,18.542
7/28/25, 7:40:01 PM,C,18.542
7/28/25, 7:50:01 PM,C,17.04
7/28/25, 8:00:01 PM,C,16.54
7/28/25, 8:10:01 PM,C,15.038
7/28/25, 8:20:01 PM,C,12.534
7/28/25, 8:30:01 PM,C,11.032
7/28/25, 8:40:01 PM,C,10.531
7/28/25, 8:50:01 PM,C,9.529
7/28/25, 9:00:01 PM,C,9.027
7/28/25, 9:10:01 PM,C,9.027
7/28/25, 9:20:01 PM,C,8.526
7/28/25, 9:30:01 PM,C,8.025
7/28/25, 9:40:01 PM,C,7.524
7/28/25, 9:50:01 PM,C,7.023
7/28/25, 10:00:01 PM,C,7.023
7/28/25, 10:10:01 PM,C,6.522
7/28/25, 10:20:01 PM,C,7.023
7/28/25, 10:30:01 PM,C,6.522
7/28/25, 10:40:01 PM,C,6.522
7/28/25, 10:50:01 PM,C,6.02
7/28/25, 11:00:01 PM,C,6.02
7/28/25, 11:10:01 PM,C,5.519
7/28/25, 11:20:01 PM,C,5.018
7/28/25, 11:30:01 PM,C,5.018
7/28/25, 11:40:01 PM,C,4.516
7/28/25, 11:50:01 PM,C,5.018
7/29/25, 12:00:01 AM,C,4.015
7/29/25, 12:10:01 AM,C,4.015
7/29/25, 12:20:01 AM,C,4.015
7/29/25, 12:30:01 AM,C,3.513
7/29/25, 12:40:01 AM,C,3.012
7/29/25, 12:50:01 AM,C,3.513
7/29/25, 1:00:01 AM,C,3.513
7/29/25, 1:10:01 AM,C,3.012
7/29/25, 1:20:01 AM,C,2.51
7/29/25, 1:30:01 AM,C,2.009
7/29/25, 1:40:01 AM,C,3.012
7/29/25, 1:50:01 AM,C,3.012
7/29/25, 2:00:01 AM,C,2.51
7/29/25, 2:10:01 AM,C,2.009
7/29/25, 2:20:01 AM,C,2.009
7/29/25, 2:30:01 AM,C,2.009
7/29/25, 2:40:01 AM,C,1.507
7/29/25, 2:50:01 AM,C,1.507
7/29/25, 3:00:01 AM,C,1.507
7/29/25, 3:10:01 AM,C,1.507
7/29/25, 3:20:01 AM,C,1.006
7/29/25, 3:30:01 AM,C,0.504
7/29/25, 3:40:01 AM,C,1.006
7/29/25, 3:50:01 AM,C,1.006
7/29/25, 4:00:01 AM,C,0.504
7/29/25, 4:10:01 AM,C,1.006
7/29/25, 4:20:01 AM,C,1.006
7/29/25, 4:30:01 AM,C,0.002
7/29/25, 4:40:01 AM,C,0.002
7/29/25, 4:50:01 AM,C,0.002
7/29/25, 5:00:01 AM,C,0.002
7/29/25, 5:10:01 AM,C,0.002
7/29/25, 5:20:01 AM,C,-0.499
7/29/25, 5:30:01 AM,C,-0.499
7/29/25, 5:40:01 AM,C,-0.499
7/29/25, 5:50:01 AM,C,0.002
7/29/25, 6:00:01 AM,C,0.002
7/29/25, 6:10:01 AM,C,0.002
7/29/25, 6:20:01 AM,C,0.002
7/29/25, 6:30:01 AM,C,0.002
7/29/25, 6:40:01 AM,C,1.006
7/29/25, 6:50:01 AM,C,1.507
7/29/25, 7:00:01 AM,C,3.012
7/29/25, 7:10:01 AM,C,3.513
7/29/25, 7:20:01 AM,C,4.015
7/29/25, 7:30:01 AM,C,5.519
7/29/25, 7:40:01 AM,C,8.526
7/29/25, 7:50:01 AM,C,9.027
7/29/25, 8:00:01 AM,C,13.035
7/29/25, 8:10:01 AM,C,19.042
7/29/25, 8:20:01 AM,C,21.544
7/29/25, 8:30:01 AM,C,23.045
7/29/25, 8:40:01 AM,C,23.045
7/29/25, 8:50:01 AM,C,23.545
7/29/25, 9:00:01 AM,C,24.045
7/29/25, 9:10:01 AM,C,25.045
7/29/25, 9:20:01 AM,C,26.045
7/29/25, 9:30:01 AM,C,26.545
7/29/25, 9:40:01 AM,C,27.545
7/29/25, 9:50:01 AM,C,27.545
7/29/25, 10:00:01 AM,C,27.045
7/29/25, 10:10:01 AM,C,28.544
7/29/25, 10:20:01 AM,C,29.544
7/29/25, 10:30:01 AM,C,29.044
7/29/25, 10:40:01 AM,C,29.544
7/29/25, 10:50:01 AM,C,28.544
7/29/25, 11:00:01 AM,C,29.544
7/29/25, 11:10:01 AM,C,30.043
7/29/25, 11:20:01 AM,C,31.043
7/29/25, 11:30:01 AM,C,30.043
7/29/25, 11:40:01 AM,C,31.542
7/29/25, 11:50:01 AM,C,31.043
7/29/25, 12:00:01 PM,C,30.043
7/29/25, 12:10:01 PM,C,31.043
7/29/25, 12:20:01 PM,C,31.043
7/29/25, 12:30:01 PM,C,30.043
7/29/25, 12:40:01 PM,C,31.542
7/29/25, 12:50:01 PM,C,32.042
7/29/25, 1:00:01 PM,C,31.043
7/29/25, 1:10:01 PM,C,32.042
7/29/25, 1:20:01 PM,C,32.541
7/29/25, 1:30:01 PM,C,32.042
7/29/25, 1:40:01 PM,C,34.04
7/29/25, 1:50:01 PM,C,31.542
7/29/25, 2:00:01 PM,C,33.041
7/29/25, 2:10:01 PM,C,32.042
7/29/25, 2:20:01 PM,C,31.043
7/29/25, 2:30:01 PM,C,32.042
7/29/25, 2:40:01 PM,C,31.043
7/29/25, 2:50:01 PM,C,32.042
7/29/25, 3:00:01 PM,C,31.043
7/29/25, 3:10:01 PM,C,30.543
7/29/25, 3:20:01 PM,C,30.543
7/29/25, 3:30:01 PM,C,31.043
7/29/25, 3:40:01 PM,C,30.543
7/29/25, 3:50:01 PM,C,31.043
7/29/25, 4:00:01 PM,C,30.043
7/29/25, 4:10:01 PM,C,29.044
7/29/25, 4:20:01 PM,C,30.043
7/29/25, 4:30:01 PM,C,29.044
7/29/25, 4:40:01 PM,C,29.544
7/29/25, 4:50:01 PM,C,28.544
7/29/25, 5:00:01 PM,C,29.044
7/29/25, 5:10:01 PM,C,27.545
7/29/25, 5:20:01 PM,C,27.545
7/29/25, 5:30:01 PM,C,26.045
7/29/25, 5:40:01 PM,C,26.045
7/29/25, 5:50:01 PM,C,24.545
7/29/25, 6:00:01 PM,C,22.544
7/29/25, 6:10:01 PM,C,22.044
7/29/25, 6:20:01 PM,C,21.544
7/29/25, 6:30:01 PM,C,21.044
7/29/25, 6:40:01 PM,C,21.544
7/29/25, 6:50:01 PM,C,21.044
7/29/25, 7:00:01 PM,C,21.044
7/29/25, 7:10:01 PM,C,23.045
7/29/25, 7:20:01 PM,C,20.043
7/29/25, 7:30:01 PM,C,18.542
7/29/25, 7:40:01 PM,C,18.542
7/29/25, 7:50:01 PM,C,18.042
7/29/25, 8:00:01 PM,C,16.54
7/29/25, 8:10:01 PM,C,15.038
7/29/25, 8:20:01 PM,C,13.536
7/29/25, 8:30:01 PM,C,13.035
7/29/25, 8:40:01 PM,C,12.033
7/29/25, 8:50:01 PM,C,12.033
7/29/25, 9:00:01 PM,C,11.032
7/29/25, 9:10:01 PM,C,10.531
7/29/25, 9:20:01 PM,C,10.03
7/29/25, 9:30:01 PM,C,10.03
7/29/25, 9:40:01 PM,C,9.027
7/29/25, 9:50:01 PM,C,9.529
7/29/25, 10:00:01 PM,C,9.027
7/29/25, 10:10:01 PM,C,9.027
7/29/25, 10:20:01 PM,C,9.027
7/29/25, 10:30:01 PM,C,8.526
7/29/25, 10:40:01 PM,C,8.526
7/29/25, 10:50:01 PM,C,7.524
7/29/25, 11:00:01 PM,C,7.524
7/29/25, 11:10:01 PM,C,7.023
7/29/25, 11:20:01 PM,C,6.522
7/29/25, 11:30:01 PM,C,6.02
7/29/25, 11:40:01 PM,C,6.02
7/29/25, 11:50:01 PM,C,6.02
7/30/25, 12:00:01 AM,C,6.522
7/30/25, 12:10:01 AM,C,6.02
7/30/25, 12:20:01 AM,C,6.522
7/30/25, 12:30:01 AM,C,6.02
7/30/25, 12:40:01 AM,C,6.02
7/30/25, 12:50:01 AM,C,6.522
7/30/25, 1:00:01 AM,C,6.522
7/30/25, 1:10:01 AM,C,6.522
7/30/25, 1:20:01 AM,C,7.524
7/30/25, 1:30:01 AM,C,7.524
7/30/25, 1:40:01 AM,C,7.524
7/30/25, 1:50:01 AM,C,8.025
7/30/25, 2:00:01 AM,C,8.025
7/30/25, 2:10:01 AM,C,8.025
7/30/25, 2:20:01 AM,C,8.526
7/30/25, 2:30:01 AM,C,8.526
7/30/25, 2:40:01 AM,C,9.027
7/30/25, 2:50:01 AM,C,9.027
7/30/25, 3:00:01 AM,C,9.027
7/30/25, 3:10:01 AM,C,9.027
7/30/25, 3:20:01 AM,C,9.027
7/30/25, 3:30:01 AM,C,9.027
7/30/25, 3:40:01 AM,C,9.027
7/30/25, 3:50:01 AM,C,9.529
7/30/25, 4:00:01 AM,C,9.529
7/30/25, 4:10:01 AM,C,9.529
7/30/25, 4:20:01 AM,C,9.027
7/30/25, 4:30:01 AM,C,9.027
7/30/25, 4:40:01 AM,C,9.027
7/30/25, 4:50:01 AM,C,9.027
7/30/25, 5:00:01 AM,C,9.529
7/30/25, 5:10:01 AM,C,9.529
7/30/25, 5:20:01 AM,C,9.529
7/30/25, 5:30:01 AM,C,9.529
7/30/25, 5:40:01 AM,C,9.027
7/30/25, 5:50:01 AM,C,9.027
7/30/25, 6:00:01 AM,C,9.027
7/30/25, 6:10:01 AM,C,9.529
7/30/25, 6:20:01 AM,C,9.529
7/30/25, 6:30:01 AM,C,9.529
7/30/25, 6:40:01 AM,C,10.03
7/30/25, 6:50:01 AM,C,11.032
7/30/25, 7:00:01 AM,C,11.532
7/30/25, 7:10:01 AM,C,11.532
7/30/25, 7:20:01 AM,C,12.033
7/30/25, 7:30:01 AM,C,13.035
7/30/25, 7:40:01 AM,C,14.537
7/30/25, 7:50:01 AM,C,15.539
7/30/25, 8:00:01 AM,C,17.04
7/30/25, 8:10:01 AM,C,20.043
7/30/25, 8:20:01 AM,C,21.044
7/30/25, 8:30:01 AM,C,23.045
7/30/25, 8:40:01 AM,C,25.045
7/30/25, 8:50:01 AM,C,24.545
7/30/25, 9:00:01 AM,C,25.045
7/30/25, 9:10:01 AM,C,26.545
7/30/25, 9:20:01 AM,C,26.545
7/30/25, 9:30:01 AM,C,25.045
7/30/25, 9:40:01 AM,C,26.545
7/30/25, 9:50:01 AM,C,28.544
7/30/25, 10:00:01 AM,C,28.544
7/30/25, 10:10:01 AM,C,24.545
7/30/25, 10:20:01 AM,C,28.544
7/30/25, 10:30:01 AM,C,27.545
7/30/25, 10:40:01 AM,C,27.545
7/30/25, 10:50:01 AM,C,28.544
7/30/25, 11:00:01 AM,C,26.545
7/30/25, 11:10:01 AM,C,28.544
7/30/25, 11:20:01 AM,C,28.544
7/30/25, 11:30:01 AM,C,29.044
7/30/25, 11:40:01 AM,C,28.544
7/30/25, 11:50:01 AM,C,27.045
7/30/25, 12:00:01 PM,C,26.045
7/30/25, 12:10:01 PM,C,24.045
7/30/25, 12:20:01 PM,C,23.045
7/30/25, 12:30:01 PM,C,27.045
7/30/25, 12:40:01 PM,C,28.544
7/30/25, 12:50:01 PM,C,28.044
7/30/25, 1:00:01 PM,C,28.544
7/30/25, 1:10:01 PM,C,27.045
7/30/25, 1:20:01 PM,C,27.545
7/30/25, 1:30:01 PM,C,28.544
7/30/25, 1:40:01 PM,C,28.044
7/30/25, 1:50:01 PM,C,28.544
7/30/25, 2:00:01 PM,C,27.045
7/30/25, 2:10:01 PM,C,28.044
7/30/25, 2:20:01 PM,C,30.043
7/30/25, 2:30:01 PM,C,29.544
7/30/25, 2:40:01 PM,C,29.044
7/30/25, 2:50:01 PM,C,29.044
7/30/25, 3:00:01 PM,C,28.044
7/30/25, 3:10:01 PM,C,26.045
7/30/25, 3:20:01 PM,C,28.044
7/30/25, 3:30:01 PM,C,27.045
7/30/25, 3:40:01 PM,C,26.545
7/30/25, 3:50:01 PM,C,24.545
7/30/25, 4:00:01 PM,C,25.045
7/30/25, 4:10:01 PM,C,25.545
7/30/25, 4:20:01 PM,C,23.045
7/30/25, 4:30:01 PM,C,22.044
7/30/25, 4:40:01 PM,C,22.544
7/30/25, 4:50:01 PM,C,22.044
7/30/25, 5:00:01 PM,C,22.044
7/30/25, 5:10:01 PM,C,22.544
7/30/25, 5:20:01 PM,C,23.045
7/30/25, 5:30:01 PM,C,23.545
7/30/25, 5:40:01 PM,C,22.544
7/30/25, 5:50:01 PM,C,22.044
7/30/25, 6:00:01 PM,C,22.044
7/30/25, 6:10:01 PM,C,21.044
7/30/25, 6:20:01 PM,C,21.544
7/30/25, 6:30:01 PM,C,21.544
7/30/25, 6:40:01 PM,C,21.044
7/30/25, 6:50:01 PM,C,20.543
7/30/25, 7:00:01 PM,C,20.043
7/30/25, 7:10:01 PM,C,19.543
7/30/25, 7:20:01 PM,C,20.043
7/30/25, 7:30:01 PM,C,18.542
7/30/25, 7:40:01 PM,C,18.542
7/30/25, 7:50:01 PM,C,17.04
7/30/25, 8:00:01 PM,C,16.54
7/30/25, 8:10:01 PM,C,16.039
7/30/25, 8:20:01 PM,C,15.038
7/30/25, 8:30:01 PM,C,15.038
7/30/25, 8:40:01 PM,C,14.537
7/30/25, 8:50:01 PM,C,14.537
7/30/25, 9:00:01 PM,C,14.537
7/30/25, 9:10:01 PM,C,15.038
7/30/25, 9:20:01 PM,C,14.037
7/30/25, 9:30:01 PM,C,13.035
7/30/25, 9:40:01 PM,C,12.033
7/30/25, 9:50:01 PM,C,11.532
7/30/25, 10:00:01 PM,C,11.032
7/30/25, 10:10:01 PM,C,11.532
7/30/25, 10:20:01 PM,C,11.532
7/30/25, 10:30:01 PM,C,11.032
7/30/25, 10:40:01 PM,C,11.032
7/30/25, 10:50:01 PM,C,10.531
7/30/25, 11:00:01 PM,C,10.531
7/30/25, 11:10:01 PM,C,9.529
7/30/25, 11:20:01 PM,C,9.027
7/30/25, 11:30:01 PM,C,8.526
7/30/25, 11:40:01 PM,C,7.524
7/30/25, 11:50:01 PM,C,7.524
7/31/25, 12:00:01 AM,C,7.023
7/31/25, 12:10:01 AM,C,6.02
7/31/25, 12:20:01 AM,C,6.522
7/31/25, 12:30:01 AM,C,6.522
7/31/25, 12:40:01 AM,C,6.02
7/31/25, 12:50:01 AM,C,5.519
7/31/25, 1:00:01 AM,C,5.018
7/31/25, 1:10:01 AM,C,5.018
7/31/25, 1:20:01 AM,C,5.018
7/31/25, 1:30:01 AM,C,5.018
7/31/25, 1:40:01 AM,C,5.018
7/31/25, 1:50:01 AM,C,4.516
7/31/25, 2:00:01 AM,C,4.516
7/31/25, 2:10:01 AM,C,3.513
7/31/25, 2:20:01 AM,C,4.015
7/31/25, 2:30:01 AM,C,3.513
7/31/25, 2:40:01 AM,C,3.012
7/31/25, 2:50:01 AM,C,3.012
7/31/25, 3:00:01 AM,C,3.012
7/31/25, 3:10:01 AM,C,3.012
7/31/25, 3:20:01 AM,C,2.51
7/31/25, 3:30:01 AM,C,2.51
7/31/25, 3:40:01 AM,C,2.009
7/31/25, 3:50:01 AM,C,2.009
7/31/25, 4:00:01 AM,C,2.009
7/31/25, 4:10:01 AM,C,2.009
7/31/25, 4:20:01 AM,C,2.009
7/31/25, 4:30:01 AM,C,2.009
7/31/25, 4:40:01 AM,C,1.507
7/31/25, 4:50:01 AM,C,2.009
7/31/25, 5:00:01 AM,C,1.507
7/31/25, 5:10:01 AM,C,1.507
7/31/25, 5:20:01 AM,C,1.006
7/31/25, 5:30:01 AM,C,1.006
7/31/25, 5:40:01 AM,C,1.507
7/31/25, 5:50:01 AM,C,1.006
7/31/25, 6:00:01 AM,C,1.006
7/31/25, 6:10:01 AM,C,1.006
7/31/25, 6:20:01 AM,C,1.507
7/31/25, 6:30:01 AM,C,1.507
7/31/25, 6:40:01 AM,C,1.507
7/31/25, 6:50:01 AM,C,2.51
7/31/25, 7:00:01 AM,C,3.513
7/31/25, 7:10:01 AM,C,4.015
7/31/25, 7:20:01 AM,C,4.516
7/31/25, 7:30:01 AM,C,7.023
7/31/25, 7:40:01 AM,C,8.526
7/31/25, 7:50:01 AM,C,9.027
7/31/25, 8:00:01 AM,C,15.038
7/31/25, 8:10:01 AM,C,20.043
7/31/25, 8:20:01 AM,C,21.044
7/31/25, 8:30:01 AM,C,22.544
7/31/25, 8:40:01 AM,C,23.545
7/31/25, 8:50:01 AM,C,23.545
7/31/25, 9:00:01 AM,C,25.045
7/31/25, 9:10:01 AM,C,25.545
7/31/25, 9:20:01 AM,C,25.045
7/31/25, 9:30:01 AM,C,26.045
7/31/25, 9:40:01 AM,C,26.045
7/31/25, 9:50:01 AM,C,28.544
7/31/25, 10:00:01 AM,C,29.044
7/31/25, 10:10:01 AM,C,28.044
7/31/25, 10:20:01 AM,C,28.544
7/31/25, 10:30:01 AM,C,28.544
7/31/25, 10:40:01 AM,C,28.544
7/31/25, 10:50:01 AM,C,28.044
7/31/25, 11:00:01 AM,C,29.044
7/31/25, 11:10:01 AM,C,28.544
7/31/25, 11:20:01 AM,C,28.044
7/31/25, 11:30:01 AM,C,29.044
7/31/25, 11:40:01 AM,C,28.044
7/31/25, 11:50:01 AM,C,29.044
7/31/25, 12:00:01 PM,C,29.044
7/31/25, 12:10:01 PM,C,30.043
7/31/25, 12:20:01 PM,C,29.544
7/31/25, 12:30:01 PM,C,29.544
7/31/25, 12:40:01 PM,C,30.043
7/31/25, 12:50:01 PM,C,29.044
7/31/25, 1:00:01 PM,C,29.544
7/31/25, 1:10:01 PM,C,30.543
7/31/25, 1:20:01 PM,C,28.544
7/31/25, 1:30:01 PM,C,30.543
7/31/25, 1:40:01 PM,C,30.543
7/31/25, 1:50:01 PM,C,30.543
7/31/25, 2:00:01 PM,C,30.043
7/31/25, 2:10:01 PM,C,30.043
7/31/25, 2:20:01 PM,C,29.544
7/31/25, 2:30:01 PM,C,29.544
7/31/25, 2:40:01 PM,C,29.544
7/31/25, 2:50:01 PM,C,29.044
7/31/25, 3:00:01 PM,C,29.044
7/31/25, 3:10:01 PM,C,28.544
7/31/25, 3:20:01 PM,C,28.544
7/31/25, 3:30:01 PM,C,28.044
7/31/25, 3:40:01 PM,C,29.544
7/31/25, 3:50:01 PM,C,29.044
7/31/25, 4:00:01 PM,C,29.044
7/31/25, 4:10:01 PM,C,28.544
7/31/25, 4:20:01 PM,C,28.044
7/31/25, 4:30:01 PM,C,29.544
7/31/25, 4:40:01 PM,C,28.044
7/31/25, 4:50:01 PM,C,27.545
7/31/25, 5:00:01 PM,C,27.545
7/31/25, 5:10:01 PM,C,27.545
7/31/25, 5:20:01 PM,C,27.045
7/31/25, 5:30:01 PM,C,27.045
7/31/25, 5:40:01 PM,C,27.045
7/31/25, 5:50:01 PM,C,23.545
7/31/25, 6:00:01 PM,C,21.544
7/31/25, 6:10:01 PM,C,21.044
7/31/25, 6:20:01 PM,C,21.044
7/31/25, 6:30:01 PM,C,21.044
7/31/25, 6:40:01 PM,C,21.044
7/31/25, 6:50:01 PM,C,20.543
7/31/25, 7:00:01 PM,C,20.543
7/31/25, 7:10:01 PM,C,21.544
7/31/25, 7:20:01 PM,C,20.043
7/31/25, 7:30:01 PM,C,18.042
7/31/25, 7:40:01 PM,C,16.039
7/31/25, 7:50:01 PM,C,14.037
7/31/25, 8:00:01 PM,C,12.534
7/31/25, 8:10:01 PM,C,11.532
7/31/25, 8:20:01 PM,C,11.032
7/31/25, 8:30:01 PM,C,10.03
7/31/25, 8:40:01 PM,C,9.529
7/31/25, 8:50:01 PM,C,9.027
7/31/25, 9:00:01 PM,C,9.027
7/31/25, 9:10:01 PM,C,9.027
7/31/25, 9:20:01 PM,C,8.025
7/31/25, 9:30:01 PM,C,7.524
