1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A400000081779741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:35:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 05:55:01 PDT 2025
Total Mission Samples:  5490
Total Device Samples:  12831
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/7/25, 6:25:01 PM,C,26.629
7/7/25, 6:35:01 PM,C,26.129
7/7/25, 6:45:01 PM,C,22.627
7/7/25, 6:55:01 PM,C,21.626
7/7/25, 7:05:01 PM,C,20.625
7/7/25, 7:15:01 PM,C,19.122
7/7/25, 7:25:01 PM,C,18.12
7/7/25, 7:35:01 PM,C,17.118
7/7/25, 7:45:01 PM,C,15.614
7/7/25, 7:55:01 PM,C,15.112
7/7/25, 8:05:01 PM,C,14.611
7/7/25, 8:15:01 PM,C,14.109
7/7/25, 8:25:01 PM,C,13.608
7/7/25, 8:35:01 PM,C,13.106
7/7/25, 8:45:01 PM,C,12.604
7/7/25, 8:55:01 PM,C,11.6
7/7/25, 9:05:01 PM,C,11.098
7/7/25, 9:15:01 PM,C,10.596
7/7/25, 9:25:01 PM,C,10.596
7/7/25, 9:35:01 PM,C,10.094
7/7/25, 9:45:01 PM,C,9.592
7/7/25, 9:55:01 PM,C,8.587
7/7/25, 10:05:01 PM,C,9.089
7/7/25, 10:15:01 PM,C,8.587
7/7/25, 10:25:01 PM,C,8.084
7/7/25, 10:35:01 PM,C,8.084
7/7/25, 10:45:01 PM,C,7.582
7/7/25, 10:55:01 PM,C,7.079
7/7/25, 11:05:01 PM,C,7.079
7/7/25, 11:15:01 PM,C,7.079
7/7/25, 11:25:01 PM,C,6.577
7/7/25, 11:35:01 PM,C,6.577
7/7/25, 11:45:01 PM,C,6.074
7/7/25, 11:55:01 PM,C,5.571
7/8/25, 12:05:01 AM,C,5.571
7/8/25, 12:15:01 AM,C,5.068
7/8/25, 12:25:01 AM,C,4.565
7/8/25, 12:35:01 AM,C,4.565
7/8/25, 12:45:01 AM,C,4.565
7/8/25, 12:55:01 AM,C,4.062
7/8/25, 1:05:01 AM,C,4.062
7/8/25, 1:15:01 AM,C,4.062
7/8/25, 1:25:01 AM,C,4.062
7/8/25, 1:35:01 AM,C,3.559
7/8/25, 1:45:01 AM,C,3.559
7/8/25, 1:55:01 AM,C,3.559
7/8/25, 2:05:01 AM,C,3.559
7/8/25, 2:15:01 AM,C,3.056
7/8/25, 2:25:01 AM,C,3.056
7/8/25, 2:35:01 AM,C,3.056
7/8/25, 2:45:01 AM,C,2.553
7/8/25, 2:55:01 AM,C,2.553
7/8/25, 3:05:01 AM,C,2.553
7/8/25, 3:15:01 AM,C,2.05
7/8/25, 3:25:01 AM,C,2.05
7/8/25, 3:35:01 AM,C,2.05
7/8/25, 3:45:01 AM,C,2.05
7/8/25, 3:55:01 AM,C,2.05
7/8/25, 4:05:01 AM,C,1.546
7/8/25, 4:15:01 AM,C,1.546
7/8/25, 4:25:01 AM,C,1.546
7/8/25, 4:35:01 AM,C,1.546
7/8/25, 4:45:01 AM,C,1.546
7/8/25, 4:55:01 AM,C,1.546
7/8/25, 5:05:01 AM,C,1.043
7/8/25, 5:15:01 AM,C,1.043
7/8/25, 5:25:01 AM,C,1.043
7/8/25, 5:35:01 AM,C,1.043
7/8/25, 5:45:01 AM,C,1.043
7/8/25, 5:55:01 AM,C,1.043
7/8/25, 6:05:01 AM,C,1.043
7/8/25, 6:15:01 AM,C,1.043
7/8/25, 6:25:01 AM,C,1.043
7/8/25, 6:35:01 AM,C,1.546
7/8/25, 6:45:01 AM,C,2.553
7/8/25, 6:55:01 AM,C,3.056
7/8/25, 7:05:01 AM,C,4.062
7/8/25, 7:15:01 AM,C,5.068
7/8/25, 7:25:01 AM,C,10.596
7/8/25, 7:35:01 AM,C,9.089
7/8/25, 7:45:01 AM,C,15.614
7/8/25, 7:55:01 AM,C,19.122
7/8/25, 8:05:01 AM,C,20.625
7/8/25, 8:15:01 AM,C,22.127
7/8/25, 8:25:01 AM,C,23.628
7/8/25, 8:35:01 AM,C,24.629
7/8/25, 8:45:01 AM,C,26.129
7/8/25, 8:55:01 AM,C,26.629
7/8/25, 9:05:01 AM,C,26.629
7/8/25, 9:15:01 AM,C,27.129
7/8/25, 9:25:01 AM,C,28.128
7/8/25, 9:35:01 AM,C,30.127
7/8/25, 9:45:01 AM,C,29.627
7/8/25, 9:55:01 AM,C,30.127
7/8/25, 10:05:01 AM,C,30.626
7/8/25, 10:15:01 AM,C,30.127
7/8/25, 10:25:01 AM,C,29.627
7/8/25, 10:35:01 AM,C,31.126
7/8/25, 10:45:01 AM,C,29.627
7/8/25, 10:55:01 AM,C,30.127
7/8/25, 11:05:01 AM,C,31.126
7/8/25, 11:15:01 AM,C,30.626
7/8/25, 11:25:01 AM,C,31.126
7/8/25, 11:35:01 AM,C,30.127
7/8/25, 11:45:01 AM,C,30.127
7/8/25, 11:55:01 AM,C,30.626
7/8/25, 12:05:01 PM,C,32.124
7/8/25, 12:15:01 PM,C,30.127
7/8/25, 12:25:01 PM,C,31.625
7/8/25, 12:35:01 PM,C,30.127
7/8/25, 12:45:01 PM,C,31.126
7/8/25, 12:55:01 PM,C,30.626
7/8/25, 1:05:01 PM,C,31.126
7/8/25, 1:15:01 PM,C,31.625
7/8/25, 1:25:01 PM,C,30.626
7/8/25, 1:35:01 PM,C,32.124
7/8/25, 1:45:01 PM,C,30.127
7/8/25, 1:55:01 PM,C,30.626
7/8/25, 2:05:01 PM,C,30.127
7/8/25, 2:15:01 PM,C,32.124
7/8/25, 2:25:01 PM,C,31.126
7/8/25, 2:35:01 PM,C,30.127
7/8/25, 2:45:01 PM,C,31.625
7/8/25, 2:55:01 PM,C,32.124
7/8/25, 3:05:01 PM,C,31.126
7/8/25, 3:15:01 PM,C,32.124
7/8/25, 3:25:01 PM,C,31.625
7/8/25, 3:35:01 PM,C,31.625
7/8/25, 3:45:01 PM,C,30.626
7/8/25, 3:55:01 PM,C,31.126
7/8/25, 4:05:01 PM,C,30.626
7/8/25, 4:15:01 PM,C,31.625
7/8/25, 4:25:01 PM,C,29.128
7/8/25, 4:35:01 PM,C,29.128
7/8/25, 4:45:01 PM,C,29.627
7/8/25, 4:55:01 PM,C,29.128
7/8/25, 5:05:01 PM,C,29.627
7/8/25, 5:15:01 PM,C,28.128
7/8/25, 5:25:01 PM,C,26.629
7/8/25, 5:35:01 PM,C,27.629
7/8/25, 5:45:01 PM,C,25.129
7/8/25, 5:55:01 PM,C,26.129
7/8/25, 6:05:01 PM,C,25.129
7/8/25, 6:15:01 PM,C,24.629
7/8/25, 6:25:01 PM,C,25.129
7/8/25, 6:35:01 PM,C,24.128
7/8/25, 6:45:01 PM,C,20.124
7/8/25, 6:55:01 PM,C,19.122
7/8/25, 7:05:01 PM,C,18.621
7/8/25, 7:15:01 PM,C,17.619
7/8/25, 7:25:01 PM,C,17.619
7/8/25, 7:35:01 PM,C,17.118
7/8/25, 7:45:01 PM,C,15.614
7/8/25, 7:55:01 PM,C,14.611
7/8/25, 8:05:01 PM,C,15.112
7/8/25, 8:15:01 PM,C,14.611
7/8/25, 8:25:01 PM,C,13.608
7/8/25, 8:35:01 PM,C,12.102
7/8/25, 8:45:01 PM,C,11.098
7/8/25, 8:55:01 PM,C,10.596
7/8/25, 9:05:01 PM,C,9.592
7/8/25, 9:15:01 PM,C,9.592
7/8/25, 9:25:01 PM,C,9.592
7/8/25, 9:35:01 PM,C,9.592
7/8/25, 9:45:01 PM,C,9.089
7/8/25, 9:55:01 PM,C,9.089
7/8/25, 10:05:01 PM,C,8.587
7/8/25, 10:15:01 PM,C,8.587
7/8/25, 10:25:01 PM,C,9.592
7/8/25, 10:35:01 PM,C,9.089
7/8/25, 10:45:01 PM,C,9.089
7/8/25, 10:55:01 PM,C,10.094
7/8/25, 11:05:01 PM,C,11.6
7/8/25, 11:15:01 PM,C,12.102
7/8/25, 11:25:01 PM,C,11.6
7/8/25, 11:35:01 PM,C,9.089
7/8/25, 11:45:01 PM,C,8.084
7/8/25, 11:55:01 PM,C,8.084
7/9/25, 12:05:01 AM,C,8.084
7/9/25, 12:15:01 AM,C,8.084
7/9/25, 12:25:01 AM,C,8.587
7/9/25, 12:35:01 AM,C,8.084
7/9/25, 12:45:01 AM,C,8.084
7/9/25, 12:55:01 AM,C,8.084
7/9/25, 1:05:01 AM,C,7.079
7/9/25, 1:15:01 AM,C,7.079
7/9/25, 1:25:01 AM,C,7.079
7/9/25, 1:35:01 AM,C,6.577
7/9/25, 1:45:01 AM,C,7.079
7/9/25, 1:55:01 AM,C,6.577
7/9/25, 2:05:01 AM,C,8.084
7/9/25, 2:15:01 AM,C,6.577
7/9/25, 2:25:01 AM,C,5.571
7/9/25, 2:35:01 AM,C,5.571
7/9/25, 2:45:01 AM,C,6.074
7/9/25, 2:55:01 AM,C,6.074
7/9/25, 3:05:01 AM,C,6.074
7/9/25, 3:15:01 AM,C,5.571
7/9/25, 3:25:01 AM,C,5.571
7/9/25, 3:35:01 AM,C,5.068
7/9/25, 3:45:01 AM,C,4.565
7/9/25, 3:55:01 AM,C,5.068
7/9/25, 4:05:01 AM,C,4.565
7/9/25, 4:15:01 AM,C,4.062
7/9/25, 4:25:01 AM,C,3.559
7/9/25, 4:35:01 AM,C,3.559
7/9/25, 4:45:01 AM,C,3.559
7/9/25, 4:55:01 AM,C,4.062
7/9/25, 5:05:01 AM,C,4.062
7/9/25, 5:15:01 AM,C,3.559
7/9/25, 5:25:01 AM,C,3.559
7/9/25, 5:35:01 AM,C,3.559
7/9/25, 5:45:01 AM,C,3.559
7/9/25, 5:55:01 AM,C,3.559
7/9/25, 6:05:01 AM,C,3.056
7/9/25, 6:15:01 AM,C,3.056
7/9/25, 6:25:01 AM,C,3.559
7/9/25, 6:35:01 AM,C,3.559
7/9/25, 6:45:01 AM,C,4.565
7/9/25, 6:55:01 AM,C,5.068
7/9/25, 7:05:01 AM,C,6.074
7/9/25, 7:15:01 AM,C,8.084
7/9/25, 7:25:01 AM,C,12.102
7/9/25, 7:35:01 AM,C,12.604
7/9/25, 7:45:01 AM,C,19.623
7/9/25, 7:55:01 AM,C,22.627
7/9/25, 8:05:01 AM,C,23.128
7/9/25, 8:15:01 AM,C,24.128
7/9/25, 8:25:01 AM,C,25.129
7/9/25, 8:35:01 AM,C,24.629
7/9/25, 8:45:01 AM,C,25.629
7/9/25, 8:55:01 AM,C,26.129
7/9/25, 9:05:01 AM,C,25.629
7/9/25, 9:15:01 AM,C,24.629
7/9/25, 9:25:01 AM,C,25.129
7/9/25, 9:35:01 AM,C,26.129
7/9/25, 9:45:01 AM,C,25.629
7/9/25, 9:55:01 AM,C,27.129
7/9/25, 10:05:01 AM,C,26.129
7/9/25, 10:15:01 AM,C,27.129
7/9/25, 10:25:01 AM,C,27.129
7/9/25, 10:35:01 AM,C,26.129
7/9/25, 10:45:01 AM,C,26.129
7/9/25, 10:55:01 AM,C,26.129
7/9/25, 11:05:01 AM,C,26.129
7/9/25, 11:15:01 AM,C,27.629
7/9/25, 11:25:01 AM,C,27.629
7/9/25, 11:35:01 AM,C,27.629
7/9/25, 11:45:01 AM,C,28.128
7/9/25, 11:55:01 AM,C,28.628
7/9/25, 12:05:01 PM,C,27.129
7/9/25, 12:15:01 PM,C,28.128
7/9/25, 12:25:01 PM,C,29.128
7/9/25, 12:35:01 PM,C,30.127
7/9/25, 12:45:01 PM,C,28.628
7/9/25, 12:55:01 PM,C,28.628
7/9/25, 1:05:01 PM,C,28.128
7/9/25, 1:15:01 PM,C,29.128
7/9/25, 1:25:01 PM,C,28.628
7/9/25, 1:35:01 PM,C,30.127
7/9/25, 1:45:01 PM,C,27.629
7/9/25, 1:55:01 PM,C,29.627
7/9/25, 2:05:01 PM,C,27.129
7/9/25, 2:15:01 PM,C,28.628
7/9/25, 2:25:01 PM,C,29.627
7/9/25, 2:35:01 PM,C,30.127
7/9/25, 2:45:01 PM,C,29.627
7/9/25, 2:55:01 PM,C,28.628
7/9/25, 3:05:01 PM,C,29.627
7/9/25, 3:15:01 PM,C,30.626
7/9/25, 3:25:01 PM,C,29.128
7/9/25, 3:35:01 PM,C,29.627
7/9/25, 3:45:01 PM,C,28.128
7/9/25, 3:55:01 PM,C,29.627
7/9/25, 4:05:01 PM,C,30.127
7/9/25, 4:15:01 PM,C,29.627
7/9/25, 4:25:01 PM,C,29.128
7/9/25, 4:35:01 PM,C,29.627
7/9/25, 4:45:01 PM,C,29.627
7/9/25, 4:55:01 PM,C,29.128
7/9/25, 5:05:01 PM,C,29.128
7/9/25, 5:15:01 PM,C,27.129
7/9/25, 5:25:01 PM,C,28.128
7/9/25, 5:35:01 PM,C,27.629
7/9/25, 5:45:01 PM,C,26.629
7/9/25, 5:55:01 PM,C,26.629
7/9/25, 6:05:01 PM,C,25.629
7/9/25, 6:15:01 PM,C,25.629
7/9/25, 6:25:01 PM,C,24.629
7/9/25, 6:35:01 PM,C,24.128
7/9/25, 6:45:01 PM,C,20.124
7/9/25, 6:55:01 PM,C,18.621
7/9/25, 7:05:01 PM,C,17.619
7/9/25, 7:15:01 PM,C,16.617
7/9/25, 7:25:01 PM,C,15.614
7/9/25, 7:35:01 PM,C,14.109
7/9/25, 7:45:01 PM,C,13.106
7/9/25, 7:55:01 PM,C,12.604
7/9/25, 8:05:01 PM,C,11.6
7/9/25, 8:15:01 PM,C,11.098
7/9/25, 8:25:01 PM,C,10.094
7/9/25, 8:35:01 PM,C,9.592
7/9/25, 8:45:01 PM,C,8.587
7/9/25, 8:55:01 PM,C,8.587
7/9/25, 9:05:01 PM,C,8.084
7/9/25, 9:15:01 PM,C,7.079
7/9/25, 9:25:01 PM,C,7.079
7/9/25, 9:35:01 PM,C,7.079
7/9/25, 9:45:01 PM,C,6.577
7/9/25, 9:55:01 PM,C,6.074
7/9/25, 10:05:01 PM,C,5.571
7/9/25, 10:15:01 PM,C,5.571
7/9/25, 10:25:01 PM,C,5.068
7/9/25, 10:35:01 PM,C,5.068
7/9/25, 10:45:01 PM,C,4.565
7/9/25, 10:55:01 PM,C,4.565
7/9/25, 11:05:01 PM,C,4.565
7/9/25, 11:15:01 PM,C,4.565
7/9/25, 11:25:01 PM,C,4.062
7/9/25, 11:35:01 PM,C,4.062
7/9/25, 11:45:01 PM,C,3.559
7/9/25, 11:55:01 PM,C,3.559
7/10/25, 12:05:01 AM,C,3.559
7/10/25, 12:15:01 AM,C,3.559
7/10/25, 12:25:01 AM,C,3.056
7/10/25, 12:35:01 AM,C,3.056
7/10/25, 12:45:01 AM,C,3.056
7/10/25, 12:55:01 AM,C,2.553
7/10/25, 1:05:01 AM,C,2.553
7/10/25, 1:15:01 AM,C,2.553
7/10/25, 1:25:01 AM,C,2.05
7/10/25, 1:35:01 AM,C,2.05
7/10/25, 1:45:01 AM,C,2.05
7/10/25, 1:55:01 AM,C,2.05
7/10/25, 2:05:01 AM,C,2.05
7/10/25, 2:15:01 AM,C,1.546
7/10/25, 2:25:01 AM,C,1.546
7/10/25, 2:35:01 AM,C,1.546
7/10/25, 2:45:01 AM,C,1.546
7/10/25, 2:55:01 AM,C,1.546
7/10/25, 3:05:01 AM,C,1.546
7/10/25, 3:15:01 AM,C,1.546
7/10/25, 3:25:01 AM,C,1.546
7/10/25, 3:35:01 AM,C,1.546
7/10/25, 3:45:01 AM,C,1.546
7/10/25, 3:55:01 AM,C,1.043
7/10/25, 4:05:01 AM,C,1.043
7/10/25, 4:15:01 AM,C,1.043
7/10/25, 4:25:01 AM,C,1.043
7/10/25, 4:35:01 AM,C,1.043
7/10/25, 4:45:01 AM,C,1.043
7/10/25, 4:55:01 AM,C,1.043
7/10/25, 5:05:01 AM,C,0.539
7/10/25, 5:15:01 AM,C,0.539
7/10/25, 5:25:01 AM,C,0.036
7/10/25, 5:35:01 AM,C,0.036
7/10/25, 5:45:01 AM,C,0.036
7/10/25, 5:55:01 AM,C,0.036
7/10/25, 6:05:01 AM,C,0.539
7/10/25, 6:15:01 AM,C,0.539
7/10/25, 6:25:01 AM,C,1.043
7/10/25, 6:35:01 AM,C,1.043
7/10/25, 6:45:01 AM,C,2.05
7/10/25, 6:55:01 AM,C,2.553
7/10/25, 7:05:01 AM,C,3.559
7/10/25, 7:15:01 AM,C,5.068
7/10/25, 7:25:01 AM,C,8.587
7/10/25, 7:35:01 AM,C,8.084
7/10/25, 7:45:01 AM,C,14.611
7/10/25, 7:55:01 AM,C,18.621
7/10/25, 8:05:01 AM,C,20.124
7/10/25, 8:15:01 AM,C,20.124
7/10/25, 8:25:01 AM,C,22.127
7/10/25, 8:35:01 AM,C,24.128
7/10/25, 8:45:01 AM,C,25.129
7/10/25, 8:55:01 AM,C,25.629
7/10/25, 9:05:01 AM,C,26.629
7/10/25, 9:15:01 AM,C,26.629
7/10/25, 9:25:01 AM,C,27.129
7/10/25, 9:35:01 AM,C,27.129
7/10/25, 9:45:01 AM,C,28.128
7/10/25, 9:55:01 AM,C,28.128
7/10/25, 10:05:01 AM,C,28.128
7/10/25, 10:15:01 AM,C,28.628
7/10/25, 10:25:01 AM,C,28.128
7/10/25, 10:35:01 AM,C,28.128
7/10/25, 10:45:01 AM,C,29.128
7/10/25, 10:55:01 AM,C,28.628
7/10/25, 11:05:01 AM,C,30.127
7/10/25, 11:15:01 AM,C,29.627
7/10/25, 11:25:01 AM,C,31.126
7/10/25, 11:35:01 AM,C,29.627
7/10/25, 11:45:01 AM,C,31.126
7/10/25, 11:55:01 AM,C,29.128
7/10/25, 12:05:01 PM,C,30.626
7/10/25, 12:15:01 PM,C,30.127
7/10/25, 12:25:01 PM,C,30.626
7/10/25, 12:35:01 PM,C,30.127
7/10/25, 12:45:01 PM,C,30.626
7/10/25, 12:55:01 PM,C,32.124
7/10/25, 1:05:01 PM,C,31.625
7/10/25, 1:15:01 PM,C,32.124
7/10/25, 1:25:01 PM,C,32.623
7/10/25, 1:35:01 PM,C,31.126
7/10/25, 1:45:01 PM,C,31.625
7/10/25, 1:55:01 PM,C,32.623
7/10/25, 2:05:01 PM,C,32.124
7/10/25, 2:15:01 PM,C,32.623
7/10/25, 2:25:01 PM,C,32.623
7/10/25, 2:35:01 PM,C,31.625
7/10/25, 2:45:01 PM,C,33.122
7/10/25, 2:55:01 PM,C,34.12
7/10/25, 3:05:01 PM,C,33.621
7/10/25, 3:15:01 PM,C,33.621
7/10/25, 3:25:01 PM,C,34.12
7/10/25, 3:35:01 PM,C,34.12
7/10/25, 3:45:01 PM,C,33.621
7/10/25, 3:55:01 PM,C,33.122
7/10/25, 4:05:01 PM,C,34.12
7/10/25, 4:15:01 PM,C,33.621
7/10/25, 4:25:01 PM,C,35.118
7/10/25, 4:35:01 PM,C,34.619
7/10/25, 4:45:01 PM,C,34.12
7/10/25, 4:55:01 PM,C,34.12
7/10/25, 5:05:01 PM,C,33.122
7/10/25, 5:15:01 PM,C,33.122
7/10/25, 5:25:01 PM,C,32.623
7/10/25, 5:35:01 PM,C,31.625
7/10/25, 5:45:01 PM,C,32.124
7/10/25, 5:55:01 PM,C,30.127
7/10/25, 6:05:01 PM,C,29.627
7/10/25, 6:15:01 PM,C,29.627
7/10/25, 6:25:01 PM,C,29.128
7/10/25, 6:35:01 PM,C,27.629
7/10/25, 6:45:01 PM,C,23.628
7/10/25, 6:55:01 PM,C,22.627
7/10/25, 7:05:01 PM,C,21.126
7/10/25, 7:15:01 PM,C,20.625
7/10/25, 7:25:01 PM,C,19.623
7/10/25, 7:35:01 PM,C,19.122
7/10/25, 7:45:01 PM,C,17.619
7/10/25, 7:55:01 PM,C,16.617
7/10/25, 8:05:01 PM,C,16.115
7/10/25, 8:15:01 PM,C,15.112
7/10/25, 8:25:01 PM,C,14.611
7/10/25, 8:35:01 PM,C,13.608
7/10/25, 8:45:01 PM,C,13.106
7/10/25, 8:55:01 PM,C,12.604
7/10/25, 9:05:01 PM,C,12.102
7/10/25, 9:15:01 PM,C,11.6
7/10/25, 9:25:01 PM,C,11.098
7/10/25, 9:35:01 PM,C,10.596
7/10/25, 9:45:01 PM,C,10.094
7/10/25, 9:55:01 PM,C,10.094
7/10/25, 10:05:01 PM,C,9.592
7/10/25, 10:15:01 PM,C,9.592
7/10/25, 10:25:01 PM,C,9.089
7/10/25, 10:35:01 PM,C,9.089
7/10/25, 10:45:01 PM,C,8.587
7/10/25, 10:55:01 PM,C,8.587
7/10/25, 11:05:01 PM,C,8.587
7/10/25, 11:15:01 PM,C,8.587
7/10/25, 11:25:01 PM,C,8.084
7/10/25, 11:35:01 PM,C,7.582
7/10/25, 11:45:01 PM,C,7.582
7/10/25, 11:55:01 PM,C,7.582
7/11/25, 12:05:01 AM,C,7.582
7/11/25, 12:15:01 AM,C,7.582
7/11/25, 12:25:01 AM,C,7.079
7/11/25, 12:35:01 AM,C,7.079
7/11/25, 12:45:01 AM,C,6.577
7/11/25, 12:55:01 AM,C,6.577
7/11/25, 1:05:01 AM,C,6.577
7/11/25, 1:15:01 AM,C,6.577
7/11/25, 1:25:01 AM,C,6.577
7/11/25, 1:35:01 AM,C,6.074
7/11/25, 1:45:01 AM,C,6.074
7/11/25, 1:55:01 AM,C,5.571
7/11/25, 2:05:01 AM,C,5.571
7/11/25, 2:15:01 AM,C,5.571
7/11/25, 2:25:01 AM,C,5.571
7/11/25, 2:35:01 AM,C,5.571
7/11/25, 2:45:01 AM,C,5.068
7/11/25, 2:55:01 AM,C,5.068
7/11/25, 3:05:01 AM,C,5.068
7/11/25, 3:15:01 AM,C,5.068
7/11/25, 3:25:01 AM,C,4.565
7/11/25, 3:35:01 AM,C,4.565
7/11/25, 3:45:01 AM,C,4.565
7/11/25, 3:55:01 AM,C,4.565
7/11/25, 4:05:01 AM,C,4.565
7/11/25, 4:15:01 AM,C,4.565
7/11/25, 4:25:01 AM,C,4.062
7/11/25, 4:35:01 AM,C,4.062
7/11/25, 4:45:01 AM,C,3.559
7/11/25, 4:55:01 AM,C,3.559
7/11/25, 5:05:01 AM,C,3.559
7/11/25, 5:15:01 AM,C,3.559
7/11/25, 5:25:01 AM,C,3.559
7/11/25, 5:35:01 AM,C,3.559
7/11/25, 5:45:01 AM,C,3.559
7/11/25, 5:55:01 AM,C,3.559
7/11/25, 6:05:01 AM,C,3.559
7/11/25, 6:15:01 AM,C,3.559
7/11/25, 6:25:01 AM,C,3.559
7/11/25, 6:35:01 AM,C,4.062
7/11/25, 6:45:01 AM,C,4.565
7/11/25, 6:55:01 AM,C,5.068
7/11/25, 7:05:01 AM,C,6.074
7/11/25, 7:15:01 AM,C,7.079
7/11/25, 7:25:01 AM,C,8.587
7/11/25, 7:35:01 AM,C,10.094
7/11/25, 7:45:01 AM,C,16.617
7/11/25, 7:55:01 AM,C,20.124
7/11/25, 8:05:01 AM,C,22.127
7/11/25, 8:15:01 AM,C,23.128
7/11/25, 8:25:01 AM,C,24.629
7/11/25, 8:35:01 AM,C,25.629
7/11/25, 8:45:01 AM,C,26.629
7/11/25, 8:55:01 AM,C,28.128
7/11/25, 9:05:01 AM,C,29.128
7/11/25, 9:15:01 AM,C,29.627
7/11/25, 9:25:01 AM,C,29.128
7/11/25, 9:35:01 AM,C,30.127
7/11/25, 9:45:01 AM,C,30.626
7/11/25, 9:55:01 AM,C,30.626
7/11/25, 10:05:01 AM,C,30.127
7/11/25, 10:15:01 AM,C,31.625
7/11/25, 10:25:01 AM,C,30.626
7/11/25, 10:35:01 AM,C,31.625
7/11/25, 10:45:01 AM,C,31.625
7/11/25, 10:55:01 AM,C,32.124
7/11/25, 11:05:01 AM,C,32.124
7/11/25, 11:15:01 AM,C,31.625
7/11/25, 11:25:01 AM,C,31.625
7/11/25, 11:35:01 AM,C,32.623
7/11/25, 11:45:01 AM,C,32.124
7/11/25, 11:55:01 AM,C,32.623
7/11/25, 12:05:01 PM,C,33.122
7/11/25, 12:15:01 PM,C,32.623
7/11/25, 12:25:01 PM,C,33.621
7/11/25, 12:35:01 PM,C,33.621
7/11/25, 12:45:01 PM,C,33.621
7/11/25, 12:55:01 PM,C,33.621
7/11/25, 1:05:01 PM,C,34.12
7/11/25, 1:15:01 PM,C,33.621
7/11/25, 1:25:01 PM,C,34.12
7/11/25, 1:35:01 PM,C,33.621
7/11/25, 1:45:01 PM,C,35.118
7/11/25, 1:55:01 PM,C,35.118
7/11/25, 2:05:01 PM,C,34.619
7/11/25, 2:15:01 PM,C,35.616
7/11/25, 2:25:01 PM,C,35.118
7/11/25, 2:35:01 PM,C,35.616
7/11/25, 2:45:01 PM,C,36.614
7/11/25, 2:55:01 PM,C,36.115
7/11/25, 3:05:01 PM,C,36.614
7/11/25, 3:15:01 PM,C,37.112
7/11/25, 3:25:01 PM,C,37.112
7/11/25, 3:35:01 PM,C,36.614
7/11/25, 3:45:01 PM,C,37.611
7/11/25, 3:55:01 PM,C,37.611
7/11/25, 4:05:01 PM,C,37.112
7/11/25, 4:15:01 PM,C,36.115
7/11/25, 4:25:01 PM,C,36.614
7/11/25, 4:35:01 PM,C,30.626
7/11/25, 4:45:01 PM,C,25.129
7/11/25, 4:55:01 PM,C,23.628
7/11/25, 5:05:01 PM,C,25.129
7/11/25, 5:15:01 PM,C,26.629
7/11/25, 5:25:01 PM,C,27.129
7/11/25, 5:35:01 PM,C,32.124
7/11/25, 5:45:01 PM,C,32.124
7/11/25, 5:55:01 PM,C,31.126
7/11/25, 6:05:01 PM,C,30.127
7/11/25, 6:15:01 PM,C,29.627
7/11/25, 6:25:01 PM,C,28.628
7/11/25, 6:35:01 PM,C,28.128
7/11/25, 6:45:01 PM,C,25.129
7/11/25, 6:55:01 PM,C,23.628
7/11/25, 7:05:01 PM,C,22.627
7/11/25, 7:15:01 PM,C,21.626
7/11/25, 7:25:01 PM,C,20.625
7/11/25, 7:35:01 PM,C,19.623
7/11/25, 7:45:01 PM,C,18.621
7/11/25, 7:55:01 PM,C,18.12
7/11/25, 8:05:01 PM,C,17.118
7/11/25, 8:15:01 PM,C,16.115
7/11/25, 8:25:01 PM,C,15.614
7/11/25, 8:35:01 PM,C,15.112
7/11/25, 8:45:01 PM,C,14.109
7/11/25, 8:55:01 PM,C,13.608
7/11/25, 9:05:01 PM,C,13.106
7/11/25, 9:15:01 PM,C,12.604
7/11/25, 9:25:01 PM,C,12.102
7/11/25, 9:35:01 PM,C,12.102
7/11/25, 9:45:01 PM,C,12.102
7/11/25, 9:55:01 PM,C,11.6
7/11/25, 10:05:01 PM,C,11.098
7/11/25, 10:15:01 PM,C,11.098
7/11/25, 10:25:01 PM,C,11.098
7/11/25, 10:35:01 PM,C,11.098
7/11/25, 10:45:01 PM,C,10.596
7/11/25, 10:55:01 PM,C,10.596
7/11/25, 11:05:01 PM,C,10.094
7/11/25, 11:15:01 PM,C,10.094
7/11/25, 11:25:01 PM,C,10.094
7/11/25, 11:35:01 PM,C,9.592
7/11/25, 11:45:01 PM,C,9.592
7/11/25, 11:55:01 PM,C,9.592
7/12/25, 12:05:01 AM,C,9.089
7/12/25, 12:15:01 AM,C,9.089
7/12/25, 12:25:01 AM,C,8.587
7/12/25, 12:35:01 AM,C,8.587
7/12/25, 12:45:01 AM,C,8.587
7/12/25, 12:55:01 AM,C,8.587
7/12/25, 1:05:01 AM,C,8.084
7/12/25, 1:15:01 AM,C,8.084
7/12/25, 1:25:01 AM,C,7.582
7/12/25, 1:35:01 AM,C,7.582
7/12/25, 1:45:01 AM,C,7.582
