1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC000000816F9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Aug 23 16:06:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 24 03:06:01 PDT 2025
Total Mission Samples:  4162
Total Device Samples:  20713
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/19/25, 4:36:01 AM,C,9.111
9/19/25, 4:46:01 AM,C,9.111
9/19/25, 4:56:01 AM,C,9.111
9/19/25, 5:06:01 AM,C,9.111
9/19/25, 5:16:01 AM,C,9.111
9/19/25, 5:26:01 AM,C,9.111
9/19/25, 5:36:01 AM,C,9.111
9/19/25, 5:46:01 AM,C,9.111
9/19/25, 5:56:01 AM,C,9.111
9/19/25, 6:06:01 AM,C,8.61
9/19/25, 6:16:01 AM,C,8.61
9/19/25, 6:26:01 AM,C,8.61
9/19/25, 6:36:01 AM,C,8.61
9/19/25, 6:46:01 AM,C,8.61
9/19/25, 6:56:01 AM,C,8.61
9/19/25, 7:06:01 AM,C,8.61
9/19/25, 7:16:01 AM,C,8.61
9/19/25, 7:26:01 AM,C,9.111
9/19/25, 7:36:01 AM,C,9.111
9/19/25, 7:46:01 AM,C,9.613
9/19/25, 7:56:01 AM,C,10.615
9/19/25, 8:06:01 AM,C,11.617
9/19/25, 8:16:01 AM,C,12.619
9/19/25, 8:26:01 AM,C,13.621
9/19/25, 8:36:01 AM,C,14.122
9/19/25, 8:46:01 AM,C,15.123
9/19/25, 8:56:01 AM,C,15.624
9/19/25, 9:06:01 AM,C,16.625
9/19/25, 9:16:01 AM,C,17.126
9/19/25, 9:26:01 AM,C,17.126
9/19/25, 9:36:01 AM,C,17.627
9/19/25, 9:46:01 AM,C,18.127
9/19/25, 9:56:01 AM,C,19.629
9/19/25, 10:06:01 AM,C,19.629
9/19/25, 10:16:01 AM,C,20.629
9/19/25, 10:26:01 AM,C,21.63
9/19/25, 10:36:01 AM,C,19.128
9/19/25, 10:46:01 AM,C,18.628
9/19/25, 10:56:01 AM,C,19.128
9/19/25, 11:06:01 AM,C,19.629
9/19/25, 11:16:01 AM,C,19.629
9/19/25, 11:26:01 AM,C,20.629
9/19/25, 11:36:01 AM,C,20.629
9/19/25, 11:46:01 AM,C,21.63
9/19/25, 11:56:01 AM,C,23.631
9/19/25, 12:06:01 PM,C,23.131
9/19/25, 12:16:01 PM,C,22.13
9/19/25, 12:26:01 PM,C,21.13
9/19/25, 12:36:01 PM,C,21.13
9/19/25, 12:46:01 PM,C,20.629
9/19/25, 12:56:01 PM,C,20.629
9/19/25, 1:06:01 PM,C,20.629
9/19/25, 1:16:01 PM,C,19.128
9/19/25, 1:26:01 PM,C,19.128
9/19/25, 1:36:01 PM,C,19.629
9/19/25, 1:46:01 PM,C,19.629
9/19/25, 1:56:01 PM,C,19.128
9/19/25, 2:06:01 PM,C,19.128
9/19/25, 2:16:01 PM,C,18.628
9/19/25, 2:26:01 PM,C,19.128
9/19/25, 2:36:01 PM,C,18.127
9/19/25, 2:46:01 PM,C,17.627
9/19/25, 2:56:01 PM,C,19.128
9/19/25, 3:06:01 PM,C,20.129
9/19/25, 3:16:01 PM,C,19.128
9/19/25, 3:26:01 PM,C,18.127
9/19/25, 3:36:01 PM,C,18.628
9/19/25, 3:46:01 PM,C,18.628
9/19/25, 3:56:01 PM,C,18.628
9/19/25, 4:06:01 PM,C,18.628
9/19/25, 4:16:01 PM,C,18.628
9/19/25, 4:26:01 PM,C,18.127
9/19/25, 4:36:01 PM,C,18.127
9/19/25, 4:46:01 PM,C,18.628
9/19/25, 4:56:01 PM,C,18.628
9/19/25, 5:06:01 PM,C,18.127
9/19/25, 5:16:01 PM,C,17.126
9/19/25, 5:26:01 PM,C,17.126
9/19/25, 5:36:01 PM,C,16.625
9/19/25, 5:46:01 PM,C,15.624
9/19/25, 5:56:01 PM,C,15.123
9/19/25, 6:06:01 PM,C,14.622
9/19/25, 6:16:01 PM,C,14.622
9/19/25, 6:26:01 PM,C,14.122
9/19/25, 6:36:01 PM,C,13.621
9/19/25, 6:46:01 PM,C,13.621
9/19/25, 6:56:01 PM,C,13.12
9/19/25, 7:06:01 PM,C,13.12
9/19/25, 7:16:01 PM,C,13.12
9/19/25, 7:26:01 PM,C,13.12
9/19/25, 7:36:01 PM,C,13.12
9/19/25, 7:46:01 PM,C,12.619
9/19/25, 7:56:01 PM,C,12.619
9/19/25, 8:06:01 PM,C,12.118
9/19/25, 8:16:01 PM,C,11.617
9/19/25, 8:26:01 PM,C,10.615
9/19/25, 8:36:01 PM,C,10.114
9/19/25, 8:46:01 PM,C,9.613
9/19/25, 8:56:01 PM,C,9.111
9/19/25, 9:06:01 PM,C,9.111
9/19/25, 9:16:01 PM,C,8.61
9/19/25, 9:26:01 PM,C,8.61
9/19/25, 9:36:01 PM,C,8.61
9/19/25, 9:46:01 PM,C,9.111
9/19/25, 9:56:01 PM,C,9.111
9/19/25, 10:06:01 PM,C,9.613
9/19/25, 10:16:01 PM,C,9.111
9/19/25, 10:26:01 PM,C,9.613
9/19/25, 10:36:01 PM,C,9.613
9/19/25, 10:46:01 PM,C,9.613
9/19/25, 10:56:01 PM,C,10.114
9/19/25, 11:06:01 PM,C,10.114
9/19/25, 11:16:01 PM,C,10.114
9/19/25, 11:26:01 PM,C,10.114
9/19/25, 11:36:01 PM,C,10.114
9/19/25, 11:46:01 PM,C,10.114
9/19/25, 11:56:01 PM,C,9.613
9/20/25, 12:06:01 AM,C,9.613
9/20/25, 12:16:01 AM,C,9.111
9/20/25, 12:26:01 AM,C,8.61
9/20/25, 12:36:01 AM,C,8.61
9/20/25, 12:46:01 AM,C,8.109
9/20/25, 12:56:01 AM,C,8.61
9/20/25, 1:06:01 AM,C,8.61
9/20/25, 1:16:01 AM,C,8.109
9/20/25, 1:26:01 AM,C,7.607
9/20/25, 1:36:01 AM,C,7.607
9/20/25, 1:46:01 AM,C,7.607
9/20/25, 1:56:01 AM,C,7.607
9/20/25, 2:06:01 AM,C,7.106
9/20/25, 2:16:01 AM,C,7.106
9/20/25, 2:26:01 AM,C,7.106
9/20/25, 2:36:01 AM,C,7.106
9/20/25, 2:46:01 AM,C,7.607
9/20/25, 2:56:01 AM,C,7.607
9/20/25, 3:06:01 AM,C,7.607
9/20/25, 3:16:01 AM,C,7.607
9/20/25, 3:26:01 AM,C,7.607
9/20/25, 3:36:01 AM,C,7.607
9/20/25, 3:46:01 AM,C,8.109
9/20/25, 3:56:01 AM,C,7.607
9/20/25, 4:06:01 AM,C,7.607
9/20/25, 4:16:01 AM,C,6.605
9/20/25, 4:26:01 AM,C,6.103
9/20/25, 4:36:01 AM,C,5.602
9/20/25, 4:46:01 AM,C,5.602
9/20/25, 4:56:01 AM,C,5.1
9/20/25, 5:06:01 AM,C,4.599
9/20/25, 5:16:01 AM,C,4.599
9/20/25, 5:26:01 AM,C,4.599
9/20/25, 5:36:01 AM,C,4.097
9/20/25, 5:46:01 AM,C,4.097
9/20/25, 5:56:01 AM,C,4.097
9/20/25, 6:06:01 AM,C,4.097
9/20/25, 6:16:01 AM,C,3.596
9/20/25, 6:26:01 AM,C,3.596
9/20/25, 6:36:01 AM,C,3.094
9/20/25, 6:46:01 AM,C,3.094
9/20/25, 6:56:01 AM,C,3.094
9/20/25, 7:06:01 AM,C,3.094
9/20/25, 7:16:01 AM,C,3.094
9/20/25, 7:26:01 AM,C,3.094
9/20/25, 7:36:01 AM,C,3.596
9/20/25, 7:46:01 AM,C,3.596
9/20/25, 7:56:01 AM,C,4.097
9/20/25, 8:06:01 AM,C,4.599
9/20/25, 8:16:01 AM,C,5.1
9/20/25, 8:26:01 AM,C,5.602
9/20/25, 8:36:01 AM,C,6.605
9/20/25, 8:46:01 AM,C,7.607
9/20/25, 8:56:01 AM,C,9.111
9/20/25, 9:06:01 AM,C,10.615
9/20/25, 9:16:01 AM,C,14.122
9/20/25, 9:26:01 AM,C,17.627
9/20/25, 9:36:01 AM,C,17.627
9/20/25, 9:46:01 AM,C,19.629
9/20/25, 9:56:01 AM,C,21.63
9/20/25, 10:06:01 AM,C,22.63
9/20/25, 10:16:01 AM,C,23.131
9/20/25, 10:26:01 AM,C,24.131
9/20/25, 10:36:01 AM,C,23.631
9/20/25, 10:46:01 AM,C,25.631
9/20/25, 10:56:01 AM,C,25.631
9/20/25, 11:06:01 AM,C,25.131
9/20/25, 11:16:01 AM,C,24.631
9/20/25, 11:26:01 AM,C,25.631
9/20/25, 11:36:01 AM,C,26.631
9/20/25, 11:46:01 AM,C,25.631
9/20/25, 11:56:01 AM,C,26.631
9/20/25, 12:06:01 PM,C,25.131
9/20/25, 12:16:01 PM,C,27.131
9/20/25, 12:26:01 PM,C,25.631
9/20/25, 12:36:01 PM,C,26.631
9/20/25, 12:46:01 PM,C,27.63
9/20/25, 12:56:01 PM,C,27.131
9/20/25, 1:06:01 PM,C,26.131
9/20/25, 1:16:01 PM,C,25.131
9/20/25, 1:26:01 PM,C,22.63
9/20/25, 1:36:01 PM,C,22.13
9/20/25, 1:46:01 PM,C,26.631
9/20/25, 1:56:01 PM,C,26.131
9/20/25, 2:06:01 PM,C,27.131
9/20/25, 2:16:01 PM,C,26.631
9/20/25, 2:26:01 PM,C,26.131
9/20/25, 2:36:01 PM,C,25.631
9/20/25, 2:46:01 PM,C,23.631
9/20/25, 2:56:01 PM,C,21.13
9/20/25, 3:06:01 PM,C,20.129
9/20/25, 3:16:01 PM,C,19.128
9/20/25, 3:26:01 PM,C,18.628
9/20/25, 3:36:01 PM,C,18.628
9/20/25, 3:46:01 PM,C,18.628
9/20/25, 3:56:01 PM,C,20.129
9/20/25, 4:06:01 PM,C,20.629
9/20/25, 4:16:01 PM,C,19.128
9/20/25, 4:26:01 PM,C,19.128
9/20/25, 4:36:01 PM,C,18.628
9/20/25, 4:46:01 PM,C,18.127
9/20/25, 4:56:01 PM,C,17.126
9/20/25, 5:06:01 PM,C,17.126
9/20/25, 5:16:01 PM,C,16.625
9/20/25, 5:26:01 PM,C,16.125
9/20/25, 5:36:01 PM,C,16.125
9/20/25, 5:46:01 PM,C,15.624
9/20/25, 5:56:01 PM,C,14.622
9/20/25, 6:06:01 PM,C,14.622
9/20/25, 6:16:01 PM,C,14.122
9/20/25, 6:26:01 PM,C,13.12
9/20/25, 6:36:01 PM,C,12.619
9/20/25, 6:46:01 PM,C,12.118
9/20/25, 6:56:01 PM,C,11.617
9/20/25, 7:06:01 PM,C,11.617
9/20/25, 7:16:01 PM,C,11.116
9/20/25, 7:26:01 PM,C,10.615
9/20/25, 7:36:01 PM,C,10.615
9/20/25, 7:46:01 PM,C,10.114
9/20/25, 7:56:01 PM,C,9.613
9/20/25, 8:06:01 PM,C,9.111
9/20/25, 8:16:01 PM,C,8.61
9/20/25, 8:26:01 PM,C,8.109
9/20/25, 8:36:01 PM,C,8.109
9/20/25, 8:46:01 PM,C,7.607
9/20/25, 8:56:01 PM,C,7.607
9/20/25, 9:06:01 PM,C,7.106
9/20/25, 9:16:01 PM,C,7.106
9/20/25, 9:26:01 PM,C,6.605
9/20/25, 9:36:01 PM,C,6.605
9/20/25, 9:46:01 PM,C,6.605
9/20/25, 9:56:01 PM,C,6.605
9/20/25, 10:06:01 PM,C,6.103
9/20/25, 10:16:01 PM,C,6.103
9/20/25, 10:26:01 PM,C,6.103
9/20/25, 10:36:01 PM,C,5.602
9/20/25, 10:46:01 PM,C,5.602
9/20/25, 10:56:01 PM,C,5.602
9/20/25, 11:06:01 PM,C,5.602
9/20/25, 11:16:01 PM,C,5.1
9/20/25, 11:26:01 PM,C,5.1
9/20/25, 11:36:01 PM,C,5.1
9/20/25, 11:46:01 PM,C,5.1
9/20/25, 11:56:01 PM,C,4.599
9/21/25, 12:06:01 AM,C,4.599
9/21/25, 12:16:01 AM,C,4.097
9/21/25, 12:26:01 AM,C,4.097
9/21/25, 12:36:01 AM,C,4.097
9/21/25, 12:46:01 AM,C,4.097
9/21/25, 12:56:01 AM,C,3.596
9/21/25, 1:06:01 AM,C,3.596
9/21/25, 1:16:01 AM,C,3.596
9/21/25, 1:26:01 AM,C,3.094
9/21/25, 1:36:01 AM,C,3.094
9/21/25, 1:46:01 AM,C,3.094
9/21/25, 1:56:01 AM,C,3.094
9/21/25, 2:06:01 AM,C,3.094
9/21/25, 2:16:01 AM,C,2.592
9/21/25, 2:26:01 AM,C,2.592
9/21/25, 2:36:01 AM,C,2.592
9/21/25, 2:46:01 AM,C,2.592
9/21/25, 2:56:01 AM,C,2.09
9/21/25, 3:06:01 AM,C,2.09
9/21/25, 3:16:01 AM,C,2.09
9/21/25, 3:26:01 AM,C,2.09
9/21/25, 3:36:01 AM,C,2.09
9/21/25, 3:46:01 AM,C,2.09
9/21/25, 3:56:01 AM,C,1.589
9/21/25, 4:06:01 AM,C,1.589
9/21/25, 4:16:01 AM,C,1.589
9/21/25, 4:26:01 AM,C,1.589
9/21/25, 4:36:01 AM,C,1.589
9/21/25, 4:46:01 AM,C,1.087
9/21/25, 4:56:01 AM,C,1.087
9/21/25, 5:06:01 AM,C,1.087
9/21/25, 5:16:01 AM,C,0.585
9/21/25, 5:26:01 AM,C,1.087
9/21/25, 5:36:01 AM,C,1.087
9/21/25, 5:46:01 AM,C,0.585
9/21/25, 5:56:01 AM,C,0.585
9/21/25, 6:06:01 AM,C,0.585
9/21/25, 6:16:01 AM,C,0.585
9/21/25, 6:26:01 AM,C,0.585
9/21/25, 6:36:01 AM,C,0.585
9/21/25, 6:46:01 AM,C,0.585
9/21/25, 6:56:01 AM,C,0.585
9/21/25, 7:06:01 AM,C,0.585
9/21/25, 7:16:01 AM,C,0.585
9/21/25, 7:26:01 AM,C,0.585
9/21/25, 7:36:01 AM,C,1.087
9/21/25, 7:46:01 AM,C,1.087
9/21/25, 7:56:01 AM,C,2.09
9/21/25, 8:06:01 AM,C,2.592
9/21/25, 8:16:01 AM,C,3.094
9/21/25, 8:26:01 AM,C,3.596
9/21/25, 8:36:01 AM,C,4.599
9/21/25, 8:46:01 AM,C,5.602
9/21/25, 8:56:01 AM,C,7.106
9/21/25, 9:06:01 AM,C,8.61
9/21/25, 9:16:01 AM,C,12.118
9/21/25, 9:26:01 AM,C,15.624
9/21/25, 9:36:01 AM,C,16.125
9/21/25, 9:46:01 AM,C,19.128
9/21/25, 9:56:01 AM,C,20.129
9/21/25, 10:06:01 AM,C,21.13
9/21/25, 10:16:01 AM,C,20.129
9/21/25, 10:26:01 AM,C,23.131
9/21/25, 10:36:01 AM,C,22.63
9/21/25, 10:46:01 AM,C,26.631
9/21/25, 10:56:01 AM,C,25.131
9/21/25, 11:06:01 AM,C,23.131
9/21/25, 11:16:01 AM,C,25.631
9/21/25, 11:26:01 AM,C,26.631
9/21/25, 11:36:01 AM,C,26.631
9/21/25, 11:46:01 AM,C,21.63
9/21/25, 11:56:01 AM,C,19.128
9/21/25, 12:06:01 PM,C,22.13
9/21/25, 12:16:01 PM,C,20.629
9/21/25, 12:26:01 PM,C,18.628
9/21/25, 12:36:01 PM,C,19.128
9/21/25, 12:46:01 PM,C,18.127
9/21/25, 12:56:01 PM,C,18.628
9/21/25, 1:06:01 PM,C,18.628
9/21/25, 1:16:01 PM,C,20.629
9/21/25, 1:26:01 PM,C,21.13
9/21/25, 1:36:01 PM,C,25.131
