1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000081771641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Sep 20 15:43:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Sep 21 05:53:01 PDT 2025
Total Mission Samples:  4181
Total Device Samples:  23407
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/21/25, 5:53:01 AM,C,1.527
9/21/25, 6:03:01 AM,C,1.527
9/21/25, 6:13:01 AM,C,1.527
9/21/25, 6:23:01 AM,C,1.527
9/21/25, 6:33:01 AM,C,1.026
9/21/25, 6:43:01 AM,C,1.026
9/21/25, 6:53:01 AM,C,1.026
9/21/25, 7:03:01 AM,C,1.026
9/21/25, 7:13:01 AM,C,1.026
9/21/25, 7:23:01 AM,C,1.527
9/21/25, 7:33:01 AM,C,2.028
9/21/25, 7:43:01 AM,C,2.529
9/21/25, 7:53:01 AM,C,3.531
9/21/25, 8:03:01 AM,C,5.033
9/21/25, 8:13:01 AM,C,6.536
9/21/25, 8:23:01 AM,C,9.54
9/21/25, 8:33:01 AM,C,9.54
9/21/25, 8:43:01 AM,C,11.041
9/21/25, 8:53:01 AM,C,9.54
9/21/25, 9:03:01 AM,C,10.04
9/21/25, 9:13:01 AM,C,10.541
9/21/25, 9:23:01 AM,C,11.041
9/21/25, 9:33:01 AM,C,12.543
9/21/25, 9:43:01 AM,C,14.545
9/21/25, 9:53:01 AM,C,14.044
9/21/25, 10:03:01 AM,C,14.044
9/21/25, 10:13:01 AM,C,16.046
9/21/25, 10:23:01 AM,C,18.547
9/21/25, 10:33:01 AM,C,18.047
9/21/25, 10:43:01 AM,C,18.547
9/21/25, 10:53:01 AM,C,19.047
9/21/25, 11:03:01 AM,C,18.047
9/21/25, 11:13:01 AM,C,20.048
9/21/25, 11:23:01 AM,C,19.548
9/21/25, 11:33:01 AM,C,19.548
9/21/25, 11:43:01 AM,C,18.047
9/21/25, 11:53:01 AM,C,19.047
9/21/25, 12:03:01 PM,C,19.047
9/21/25, 12:13:01 PM,C,18.047
9/21/25, 12:23:01 PM,C,17.547
9/21/25, 12:33:01 PM,C,17.046
9/21/25, 12:43:01 PM,C,16.546
9/21/25, 12:53:01 PM,C,17.547
9/21/25, 1:03:01 PM,C,18.547
9/21/25, 1:13:01 PM,C,19.047
9/21/25, 1:23:01 PM,C,20.548
9/21/25, 1:33:01 PM,C,20.548
9/21/25, 1:43:01 PM,C,19.548
9/21/25, 1:53:01 PM,C,20.548
9/21/25, 2:03:01 PM,C,20.548
9/21/25, 2:13:01 PM,C,20.548
9/21/25, 2:23:01 PM,C,20.048
9/21/25, 2:33:01 PM,C,21.048
9/21/25, 2:43:01 PM,C,18.547
9/21/25, 2:53:01 PM,C,20.048
9/21/25, 3:03:01 PM,C,19.047
9/21/25, 3:13:01 PM,C,20.048
9/21/25, 3:23:01 PM,C,22.049
9/21/25, 3:33:01 PM,C,21.548
9/21/25, 3:43:01 PM,C,22.049
9/21/25, 3:53:01 PM,C,21.048
9/21/25, 4:03:01 PM,C,19.047
9/21/25, 4:13:01 PM,C,20.048
9/21/25, 4:23:01 PM,C,21.048
9/21/25, 4:33:01 PM,C,21.548
9/21/25, 4:43:01 PM,C,21.548
9/21/25, 4:53:01 PM,C,20.048
9/21/25, 5:03:01 PM,C,20.048
9/21/25, 5:13:01 PM,C,18.047
9/21/25, 5:23:01 PM,C,18.047
9/21/25, 5:33:01 PM,C,18.547
9/21/25, 5:43:01 PM,C,18.047
9/21/25, 5:53:01 PM,C,17.547
9/21/25, 6:03:01 PM,C,17.046
9/21/25, 6:13:01 PM,C,17.046
9/21/25, 6:23:01 PM,C,16.546
9/21/25, 6:33:01 PM,C,15.545
9/21/25, 6:43:01 PM,C,14.545
9/21/25, 6:53:01 PM,C,13.544
9/21/25, 7:03:01 PM,C,12.543
9/21/25, 7:13:01 PM,C,12.042
9/21/25, 7:23:01 PM,C,11.542
9/21/25, 7:33:01 PM,C,11.041
9/21/25, 7:43:01 PM,C,10.541
9/21/25, 7:53:01 PM,C,10.541
9/21/25, 8:03:01 PM,C,10.04
9/21/25, 8:13:01 PM,C,9.54
9/21/25, 8:23:01 PM,C,9.039
9/21/25, 8:33:01 PM,C,8.538
9/21/25, 8:43:01 PM,C,8.538
9/21/25, 8:53:01 PM,C,8.038
9/21/25, 9:03:01 PM,C,8.038
9/21/25, 9:13:01 PM,C,7.537
9/21/25, 9:23:01 PM,C,7.036
9/21/25, 9:33:01 PM,C,6.536
9/21/25, 9:43:01 PM,C,6.536
9/21/25, 9:53:01 PM,C,6.536
9/21/25, 10:03:01 PM,C,6.536
9/21/25, 10:13:01 PM,C,6.035
9/21/25, 10:23:01 PM,C,5.534
9/21/25, 10:33:01 PM,C,5.534
9/21/25, 10:43:01 PM,C,5.534
9/21/25, 10:53:01 PM,C,5.033
9/21/25, 11:03:01 PM,C,5.033
9/21/25, 11:13:01 PM,C,5.033
9/21/25, 11:23:01 PM,C,4.533
9/21/25, 11:33:01 PM,C,4.533
9/21/25, 11:43:01 PM,C,4.533
9/21/25, 11:53:01 PM,C,4.032
9/22/25, 12:03:01 AM,C,4.032
9/22/25, 12:13:01 AM,C,4.032
9/22/25, 12:23:01 AM,C,4.032
9/22/25, 12:33:01 AM,C,3.531
9/22/25, 12:43:01 AM,C,3.03
9/22/25, 12:53:01 AM,C,3.531
9/22/25, 1:03:01 AM,C,3.03
9/22/25, 1:13:01 AM,C,2.529
9/22/25, 1:23:01 AM,C,3.03
9/22/25, 1:33:01 AM,C,3.03
9/22/25, 1:43:01 AM,C,3.03
9/22/25, 1:53:01 AM,C,3.03
9/22/25, 2:03:01 AM,C,3.03
9/22/25, 2:13:01 AM,C,2.529
9/22/25, 2:23:01 AM,C,2.529
9/22/25, 2:33:01 AM,C,3.03
9/22/25, 2:43:01 AM,C,2.028
9/22/25, 2:53:01 AM,C,2.529
9/22/25, 3:03:01 AM,C,2.529
9/22/25, 3:13:01 AM,C,2.529
9/22/25, 3:23:01 AM,C,2.028
9/22/25, 3:33:01 AM,C,2.028
9/22/25, 3:43:01 AM,C,1.527
9/22/25, 3:53:01 AM,C,2.028
9/22/25, 4:03:01 AM,C,2.028
9/22/25, 4:13:01 AM,C,2.028
9/22/25, 4:23:01 AM,C,2.028
9/22/25, 4:33:01 AM,C,1.527
9/22/25, 4:43:01 AM,C,2.028
9/22/25, 4:53:01 AM,C,2.028
9/22/25, 5:03:01 AM,C,1.527
9/22/25, 5:13:01 AM,C,1.026
9/22/25, 5:23:01 AM,C,1.527
9/22/25, 5:33:01 AM,C,1.527
9/22/25, 5:43:01 AM,C,1.527
9/22/25, 5:53:01 AM,C,1.527
9/22/25, 6:03:01 AM,C,1.527
9/22/25, 6:13:01 AM,C,1.026
9/22/25, 6:23:01 AM,C,1.527
9/22/25, 6:33:01 AM,C,1.026
9/22/25, 6:43:01 AM,C,1.026
9/22/25, 6:53:01 AM,C,0.526
9/22/25, 7:03:01 AM,C,1.026
9/22/25, 7:13:01 AM,C,1.026
9/22/25, 7:23:01 AM,C,1.527
9/22/25, 7:33:01 AM,C,1.527
9/22/25, 7:43:01 AM,C,2.028
9/22/25, 7:53:01 AM,C,3.03
9/22/25, 8:03:01 AM,C,5.033
9/22/25, 8:13:01 AM,C,7.036
9/22/25, 8:23:01 AM,C,10.04
9/22/25, 8:33:01 AM,C,9.54
9/22/25, 8:43:01 AM,C,11.041
9/22/25, 8:53:01 AM,C,10.04
9/22/25, 9:03:01 AM,C,10.04
9/22/25, 9:13:01 AM,C,10.541
9/22/25, 9:23:01 AM,C,11.542
9/22/25, 9:33:01 AM,C,12.543
9/22/25, 9:43:01 AM,C,13.043
9/22/25, 9:53:01 AM,C,14.044
9/22/25, 10:03:01 AM,C,16.046
9/22/25, 10:13:01 AM,C,16.546
9/22/25, 10:23:01 AM,C,17.547
9/22/25, 10:33:01 AM,C,18.047
9/22/25, 10:43:01 AM,C,18.547
9/22/25, 10:53:01 AM,C,18.547
9/22/25, 11:03:01 AM,C,19.047
9/22/25, 11:13:01 AM,C,18.547
9/22/25, 11:23:01 AM,C,18.547
9/22/25, 11:33:01 AM,C,18.547
9/22/25, 11:43:01 AM,C,19.047
9/22/25, 11:53:01 AM,C,19.047
9/22/25, 12:03:01 PM,C,19.548
9/22/25, 12:13:01 PM,C,19.548
9/22/25, 12:23:01 PM,C,19.047
9/22/25, 12:33:01 PM,C,20.548
9/22/25, 12:43:01 PM,C,21.048
9/22/25, 12:53:01 PM,C,22.049
9/22/25, 1:03:01 PM,C,23.049
9/22/25, 1:13:01 PM,C,22.549
9/22/25, 1:23:01 PM,C,22.549
9/22/25, 1:33:01 PM,C,22.049
9/22/25, 1:43:01 PM,C,22.049
9/22/25, 1:53:01 PM,C,22.549
9/22/25, 2:03:01 PM,C,22.049
9/22/25, 2:13:01 PM,C,21.548
9/22/25, 2:23:01 PM,C,22.049
9/22/25, 2:33:01 PM,C,21.548
9/22/25, 2:43:01 PM,C,22.049
9/22/25, 2:53:01 PM,C,22.049
9/22/25, 3:03:01 PM,C,22.549
9/22/25, 3:13:01 PM,C,22.549
9/22/25, 3:23:01 PM,C,22.549
9/22/25, 3:33:01 PM,C,22.549
9/22/25, 3:43:01 PM,C,23.049
9/22/25, 3:53:01 PM,C,23.049
9/22/25, 4:03:01 PM,C,23.049
9/22/25, 4:13:01 PM,C,23.049
9/22/25, 4:23:01 PM,C,23.049
9/22/25, 4:33:01 PM,C,23.549
9/22/25, 4:43:01 PM,C,24.049
9/22/25, 4:53:01 PM,C,23.549
9/22/25, 5:03:01 PM,C,24.049
9/22/25, 5:13:01 PM,C,23.549
9/22/25, 5:23:01 PM,C,21.548
9/22/25, 5:33:01 PM,C,20.048
9/22/25, 5:43:01 PM,C,19.047
9/22/25, 5:53:01 PM,C,17.547
9/22/25, 6:03:01 PM,C,17.046
9/22/25, 6:13:01 PM,C,16.546
9/22/25, 6:23:01 PM,C,16.046
9/22/25, 6:33:01 PM,C,15.045
9/22/25, 6:43:01 PM,C,14.044
9/22/25, 6:53:01 PM,C,13.043
9/22/25, 7:03:01 PM,C,12.543
9/22/25, 7:13:01 PM,C,12.042
9/22/25, 7:23:01 PM,C,11.542
9/22/25, 7:33:01 PM,C,11.041
9/22/25, 7:43:01 PM,C,11.041
9/22/25, 7:53:01 PM,C,10.541
9/22/25, 8:03:01 PM,C,10.04
9/22/25, 8:13:01 PM,C,9.54
9/22/25, 8:23:01 PM,C,9.039
9/22/25, 8:33:01 PM,C,8.538
9/22/25, 8:43:01 PM,C,8.538
9/22/25, 8:53:01 PM,C,8.038
9/22/25, 9:03:01 PM,C,7.537
9/22/25, 9:13:01 PM,C,7.537
9/22/25, 9:23:01 PM,C,6.536
9/22/25, 9:33:01 PM,C,6.035
9/22/25, 9:43:01 PM,C,6.035
9/22/25, 9:53:01 PM,C,6.035
9/22/25, 10:03:01 PM,C,6.035
9/22/25, 10:13:01 PM,C,5.534
9/22/25, 10:23:01 PM,C,5.534
9/22/25, 10:33:01 PM,C,5.534
9/22/25, 10:43:01 PM,C,4.533
9/22/25, 10:53:01 PM,C,4.533
9/22/25, 11:03:01 PM,C,4.533
9/22/25, 11:13:01 PM,C,4.032
9/22/25, 11:23:01 PM,C,4.032
9/22/25, 11:33:01 PM,C,3.531
9/22/25, 11:43:01 PM,C,3.531
9/22/25, 11:53:01 PM,C,3.531
9/23/25, 12:03:01 AM,C,3.531
9/23/25, 12:13:01 AM,C,3.531
9/23/25, 12:23:01 AM,C,3.531
9/23/25, 12:33:01 AM,C,3.531
9/23/25, 12:43:01 AM,C,3.03
9/23/25, 12:53:01 AM,C,3.03
9/23/25, 1:03:01 AM,C,3.03
9/23/25, 1:13:01 AM,C,3.03
9/23/25, 1:23:01 AM,C,3.03
9/23/25, 1:33:01 AM,C,2.529
9/23/25, 1:43:01 AM,C,2.529
9/23/25, 1:53:01 AM,C,2.529
9/23/25, 2:03:01 AM,C,2.529
9/23/25, 2:13:01 AM,C,2.028
9/23/25, 2:23:01 AM,C,2.529
9/23/25, 2:33:01 AM,C,2.028
9/23/25, 2:43:01 AM,C,2.028
9/23/25, 2:53:01 AM,C,2.028
9/23/25, 3:03:01 AM,C,2.028
9/23/25, 3:13:01 AM,C,1.527
9/23/25, 3:23:01 AM,C,1.527
9/23/25, 3:33:01 AM,C,1.527
9/23/25, 3:43:01 AM,C,1.026
9/23/25, 3:53:01 AM,C,1.527
9/23/25, 4:03:01 AM,C,1.026
9/23/25, 4:13:01 AM,C,1.026
9/23/25, 4:23:01 AM,C,1.026
9/23/25, 4:33:01 AM,C,1.026
9/23/25, 4:43:01 AM,C,0.526
9/23/25, 4:53:01 AM,C,0.526
9/23/25, 5:03:01 AM,C,0.526
9/23/25, 5:13:01 AM,C,0.526
9/23/25, 5:23:01 AM,C,0.526
9/23/25, 5:33:01 AM,C,0.526
9/23/25, 5:43:01 AM,C,0.025
9/23/25, 5:53:01 AM,C,0.025
9/23/25, 6:03:01 AM,C,0.025
9/23/25, 6:13:01 AM,C,0.025
9/23/25, 6:23:01 AM,C,0.025
9/23/25, 6:33:01 AM,C,0.025
9/23/25, 6:43:01 AM,C,0.025
9/23/25, 6:53:01 AM,C,0.025
9/23/25, 7:03:01 AM,C,0.025
9/23/25, 7:13:01 AM,C,0.526
9/23/25, 7:23:01 AM,C,0.526
9/23/25, 7:33:01 AM,C,1.026
9/23/25, 7:43:01 AM,C,1.527
9/23/25, 7:53:01 AM,C,2.529
9/23/25, 8:03:01 AM,C,4.533
9/23/25, 8:13:01 AM,C,7.036
9/23/25, 8:23:01 AM,C,9.039
9/23/25, 8:33:01 AM,C,9.039
9/23/25, 8:43:01 AM,C,10.04
9/23/25, 8:53:01 AM,C,9.039
9/23/25, 9:03:01 AM,C,9.54
9/23/25, 9:13:01 AM,C,10.04
9/23/25, 9:23:01 AM,C,11.542
9/23/25, 9:33:01 AM,C,12.543
9/23/25, 9:43:01 AM,C,13.043
9/23/25, 9:53:01 AM,C,14.545
9/23/25, 10:03:01 AM,C,16.046
9/23/25, 10:13:01 AM,C,17.547
9/23/25, 10:23:01 AM,C,18.547
9/23/25, 10:33:01 AM,C,19.047
9/23/25, 10:43:01 AM,C,19.548
9/23/25, 10:53:01 AM,C,20.048
9/23/25, 11:03:01 AM,C,19.548
9/23/25, 11:13:01 AM,C,20.048
9/23/25, 11:23:01 AM,C,20.048
9/23/25, 11:33:01 AM,C,20.048
9/23/25, 11:43:01 AM,C,20.048
9/23/25, 11:53:01 AM,C,20.548
9/23/25, 12:03:01 PM,C,20.548
9/23/25, 12:13:01 PM,C,20.548
9/23/25, 12:23:01 PM,C,21.548
9/23/25, 12:33:01 PM,C,22.049
9/23/25, 12:43:01 PM,C,22.549
9/23/25, 12:53:01 PM,C,23.049
9/23/25, 1:03:01 PM,C,24.049
9/23/25, 1:13:01 PM,C,24.049
9/23/25, 1:23:01 PM,C,23.549
9/23/25, 1:33:01 PM,C,24.049
9/23/25, 1:43:01 PM,C,24.049
9/23/25, 1:53:01 PM,C,23.549
9/23/25, 2:03:01 PM,C,24.049
9/23/25, 2:13:01 PM,C,23.549
9/23/25, 2:23:01 PM,C,23.049
9/23/25, 2:33:01 PM,C,23.549
9/23/25, 2:43:01 PM,C,23.549
9/23/25, 2:53:01 PM,C,23.549
9/23/25, 3:03:01 PM,C,23.549
9/23/25, 3:13:01 PM,C,23.549
9/23/25, 3:23:01 PM,C,23.549
9/23/25, 3:33:01 PM,C,23.549
9/23/25, 3:43:01 PM,C,24.549
9/23/25, 3:53:01 PM,C,24.049
9/23/25, 4:03:01 PM,C,24.049
9/23/25, 4:13:01 PM,C,24.049
9/23/25, 4:23:01 PM,C,24.049
9/23/25, 4:33:01 PM,C,24.049
9/23/25, 4:43:01 PM,C,24.549
9/23/25, 4:53:01 PM,C,24.049
9/23/25, 5:03:01 PM,C,25.049
9/23/25, 5:13:01 PM,C,24.049
9/23/25, 5:23:01 PM,C,22.549
9/23/25, 5:33:01 PM,C,21.048
9/23/25, 5:43:01 PM,C,19.548
9/23/25, 5:53:01 PM,C,19.548
9/23/25, 6:03:01 PM,C,18.047
9/23/25, 6:13:01 PM,C,17.547
9/23/25, 6:23:01 PM,C,16.546
9/23/25, 6:33:01 PM,C,16.046
9/23/25, 6:43:01 PM,C,15.045
9/23/25, 6:53:01 PM,C,14.044
9/23/25, 7:03:01 PM,C,13.043
9/23/25, 7:13:01 PM,C,12.543
9/23/25, 7:23:01 PM,C,12.042
9/23/25, 7:33:01 PM,C,11.542
9/23/25, 7:43:01 PM,C,11.041
9/23/25, 7:53:01 PM,C,10.541
9/23/25, 8:03:01 PM,C,10.04
9/23/25, 8:13:01 PM,C,10.04
9/23/25, 8:23:01 PM,C,9.54
9/23/25, 8:33:01 PM,C,9.039
9/23/25, 8:43:01 PM,C,8.538
9/23/25, 8:53:01 PM,C,8.038
9/23/25, 9:03:01 PM,C,7.537
9/23/25, 9:13:01 PM,C,7.036
9/23/25, 9:23:01 PM,C,7.036
9/23/25, 9:33:01 PM,C,6.536
9/23/25, 9:43:01 PM,C,6.536
9/23/25, 9:53:01 PM,C,6.035
9/23/25, 10:03:01 PM,C,6.035
9/23/25, 10:13:01 PM,C,5.534
9/23/25, 10:23:01 PM,C,5.534
9/23/25, 10:33:01 PM,C,5.534
9/23/25, 10:43:01 PM,C,5.033
9/23/25, 10:53:01 PM,C,5.033
9/23/25, 11:03:01 PM,C,4.533
9/23/25, 11:13:01 PM,C,4.533
9/23/25, 11:23:01 PM,C,4.533
9/23/25, 11:33:01 PM,C,4.533
9/23/25, 11:43:01 PM,C,4.032
9/23/25, 11:53:01 PM,C,4.032
9/24/25, 12:03:01 AM,C,3.531
9/24/25, 12:13:01 AM,C,3.531
9/24/25, 12:23:01 AM,C,3.531
9/24/25, 12:33:01 AM,C,3.531
9/24/25, 12:43:01 AM,C,3.531
9/24/25, 12:53:01 AM,C,3.03
9/24/25, 1:03:01 AM,C,3.03
9/24/25, 1:13:01 AM,C,3.03
9/24/25, 1:23:01 AM,C,3.03
9/24/25, 1:33:01 AM,C,2.529
9/24/25, 1:43:01 AM,C,2.529
9/24/25, 1:53:01 AM,C,2.529
9/24/25, 2:03:01 AM,C,2.529
9/24/25, 2:13:01 AM,C,2.529
9/24/25, 2:23:01 AM,C,2.028
9/24/25, 2:33:01 AM,C,2.529
9/24/25, 2:43:01 AM,C,2.028
9/24/25, 2:53:01 AM,C,2.028
9/24/25, 3:03:01 AM,C,2.028
9/24/25, 3:13:01 AM,C,2.028
9/24/25, 3:23:01 AM,C,2.028
9/24/25, 3:33:01 AM,C,2.028
9/24/25, 3:43:01 AM,C,1.527
9/24/25, 3:53:01 AM,C,1.527
9/24/25, 4:03:01 AM,C,1.527
9/24/25, 4:13:01 AM,C,1.527
9/24/25, 4:23:01 AM,C,1.026
9/24/25, 4:33:01 AM,C,1.527
9/24/25, 4:43:01 AM,C,1.026
9/24/25, 4:53:01 AM,C,1.026
9/24/25, 5:03:01 AM,C,1.026
9/24/25, 5:13:01 AM,C,1.026
9/24/25, 5:23:01 AM,C,1.026
9/24/25, 5:33:01 AM,C,0.526
9/24/25, 5:43:01 AM,C,0.526
9/24/25, 5:53:01 AM,C,1.026
9/24/25, 6:03:01 AM,C,0.526
9/24/25, 6:13:01 AM,C,0.526
9/24/25, 6:23:01 AM,C,0.526
9/24/25, 6:33:01 AM,C,0.526
9/24/25, 6:43:01 AM,C,0.526
9/24/25, 6:53:01 AM,C,0.526
9/24/25, 7:03:01 AM,C,0.526
9/24/25, 7:13:01 AM,C,0.526
9/24/25, 7:23:01 AM,C,1.026
9/24/25, 7:33:01 AM,C,1.026
9/24/25, 7:43:01 AM,C,1.527
9/24/25, 7:53:01 AM,C,3.531
9/24/25, 8:03:01 AM,C,5.033
9/24/25, 8:13:01 AM,C,7.537
9/24/25, 8:23:01 AM,C,9.039
9/24/25, 8:33:01 AM,C,10.04
9/24/25, 8:43:01 AM,C,10.04
9/24/25, 8:53:01 AM,C,9.54
9/24/25, 9:03:01 AM,C,10.04
9/24/25, 9:13:01 AM,C,11.041
9/24/25, 9:23:01 AM,C,13.043
9/24/25, 9:33:01 AM,C,13.043
9/24/25, 9:43:01 AM,C,14.044
9/24/25, 9:53:01 AM,C,15.545
9/24/25, 10:03:01 AM,C,17.046
9/24/25, 10:13:01 AM,C,18.547
9/24/25, 10:23:01 AM,C,19.548
9/24/25, 10:33:01 AM,C,21.048
9/24/25, 10:43:01 AM,C,21.548
9/24/25, 10:53:01 AM,C,22.549
9/24/25, 11:03:01 AM,C,22.549
9/24/25, 11:13:01 AM,C,22.549
9/24/25, 11:23:01 AM,C,22.549
9/24/25, 11:33:01 AM,C,22.549
9/24/25, 11:43:01 AM,C,22.549
9/24/25, 11:53:01 AM,C,23.049
9/24/25, 12:03:01 PM,C,23.049
9/24/25, 12:13:01 PM,C,23.049
9/24/25, 12:23:01 PM,C,23.549
9/24/25, 12:33:01 PM,C,24.049
9/24/25, 12:43:01 PM,C,24.549
9/24/25, 12:53:01 PM,C,25.549
9/24/25, 1:03:01 PM,C,26.049
9/24/25, 1:13:01 PM,C,26.049
9/24/25, 1:23:01 PM,C,26.049
9/24/25, 1:33:01 PM,C,26.549
9/24/25, 1:43:01 PM,C,25.549
9/24/25, 1:53:01 PM,C,25.549
9/24/25, 2:03:01 PM,C,26.049
9/24/25, 2:13:01 PM,C,26.049
9/24/25, 2:23:01 PM,C,25.049
9/24/25, 2:33:01 PM,C,24.049
9/24/25, 2:43:01 PM,C,24.049
9/24/25, 2:53:01 PM,C,22.549
9/24/25, 3:03:01 PM,C,25.049
9/24/25, 3:13:01 PM,C,26.049
9/24/25, 3:23:01 PM,C,26.049
9/24/25, 3:33:01 PM,C,25.549
9/24/25, 3:43:01 PM,C,23.549
9/24/25, 3:53:01 PM,C,23.549
9/24/25, 4:03:01 PM,C,22.549
9/24/25, 4:13:01 PM,C,22.549
9/24/25, 4:23:01 PM,C,23.049
9/24/25, 4:33:01 PM,C,25.049
9/24/25, 4:43:01 PM,C,26.049
9/24/25, 4:53:01 PM,C,25.049
9/24/25, 5:03:01 PM,C,25.549
9/24/25, 5:13:01 PM,C,25.549
9/24/25, 5:23:01 PM,C,23.049
9/24/25, 5:33:01 PM,C,23.049
9/24/25, 5:43:01 PM,C,21.548
9/24/25, 5:53:01 PM,C,20.548
9/24/25, 6:03:01 PM,C,19.548
9/24/25, 6:13:01 PM,C,18.547
9/24/25, 6:23:01 PM,C,17.547
9/24/25, 6:33:01 PM,C,16.546
9/24/25, 6:43:01 PM,C,16.046
9/24/25, 6:53:01 PM,C,15.545
9/24/25, 7:03:01 PM,C,14.545
9/24/25, 7:13:01 PM,C,14.044
9/24/25, 7:23:01 PM,C,13.544
9/24/25, 7:33:01 PM,C,13.043
9/24/25, 7:43:01 PM,C,12.543
9/24/25, 7:53:01 PM,C,12.042
9/24/25, 8:03:01 PM,C,11.542
9/24/25, 8:13:01 PM,C,10.541
9/24/25, 8:23:01 PM,C,11.041
9/24/25, 8:33:01 PM,C,11.041
9/24/25, 8:43:01 PM,C,11.041
9/24/25, 8:53:01 PM,C,10.541
9/24/25, 9:03:01 PM,C,10.04
9/24/25, 9:13:01 PM,C,10.04
9/24/25, 9:23:01 PM,C,9.54
9/24/25, 9:33:01 PM,C,9.54
9/24/25, 9:43:01 PM,C,9.54
9/24/25, 9:53:01 PM,C,9.54
9/24/25, 10:03:01 PM,C,9.54
9/24/25, 10:13:01 PM,C,9.039
9/24/25, 10:23:01 PM,C,8.538
9/24/25, 10:33:01 PM,C,8.038
9/24/25, 10:43:01 PM,C,7.537
9/24/25, 10:53:01 PM,C,7.537
9/24/25, 11:03:01 PM,C,7.537
9/24/25, 11:13:01 PM,C,7.036
9/24/25, 11:23:01 PM,C,7.537
9/24/25, 11:33:01 PM,C,7.036
9/24/25, 11:43:01 PM,C,7.036
9/24/25, 11:53:01 PM,C,6.536
9/25/25, 12:03:01 AM,C,6.536
9/25/25, 12:13:01 AM,C,6.035
9/25/25, 12:23:01 AM,C,6.035
9/25/25, 12:33:01 AM,C,5.534
9/25/25, 12:43:01 AM,C,5.033
9/25/25, 12:53:01 AM,C,5.033
9/25/25, 1:03:01 AM,C,5.033
9/25/25, 1:13:01 AM,C,4.533
9/25/25, 1:23:01 AM,C,4.533
9/25/25, 1:33:01 AM,C,4.533
9/25/25, 1:43:01 AM,C,4.533
9/25/25, 1:53:01 AM,C,4.032
9/25/25, 2:03:01 AM,C,4.032
9/25/25, 2:13:01 AM,C,4.032
9/25/25, 2:23:01 AM,C,3.531
9/25/25, 2:33:01 AM,C,3.531
9/25/25, 2:43:01 AM,C,3.03
9/25/25, 2:53:01 AM,C,3.531
9/25/25, 3:03:01 AM,C,3.531
9/25/25, 3:13:01 AM,C,4.032
9/25/25, 3:23:01 AM,C,4.032
9/25/25, 3:33:01 AM,C,4.032
9/25/25, 3:43:01 AM,C,4.032
9/25/25, 3:53:01 AM,C,4.032
9/25/25, 4:03:01 AM,C,4.032
9/25/25, 4:13:01 AM,C,4.533
9/25/25, 4:23:01 AM,C,4.533
9/25/25, 4:33:01 AM,C,4.533
9/25/25, 4:43:01 AM,C,4.533
9/25/25, 4:53:01 AM,C,4.533
9/25/25, 5:03:01 AM,C,4.533
9/25/25, 5:13:01 AM,C,4.533
9/25/25, 5:23:01 AM,C,4.533
9/25/25, 5:33:01 AM,C,4.533
9/25/25, 5:43:01 AM,C,4.533
9/25/25, 5:53:01 AM,C,4.533
9/25/25, 6:03:01 AM,C,5.033
9/25/25, 6:13:01 AM,C,4.533
9/25/25, 6:23:01 AM,C,4.533
9/25/25, 6:33:01 AM,C,4.533
9/25/25, 6:43:01 AM,C,5.033
9/25/25, 6:53:01 AM,C,5.033
9/25/25, 7:03:01 AM,C,4.533
9/25/25, 7:13:01 AM,C,4.533
9/25/25, 7:23:01 AM,C,4.533
9/25/25, 7:33:01 AM,C,5.033
9/25/25, 7:43:01 AM,C,5.534
9/25/25, 7:53:01 AM,C,6.035
9/25/25, 8:03:01 AM,C,6.536
9/25/25, 8:13:01 AM,C,7.036
9/25/25, 8:23:01 AM,C,7.537
9/25/25, 8:33:01 AM,C,8.038
9/25/25, 8:43:01 AM,C,8.538
9/25/25, 8:53:01 AM,C,9.54
9/25/25, 9:03:01 AM,C,9.54
9/25/25, 9:13:01 AM,C,10.04
9/25/25, 9:23:01 AM,C,11.041
9/25/25, 9:33:01 AM,C,12.042
9/25/25, 9:43:01 AM,C,13.043
9/25/25, 9:53:01 AM,C,14.044
9/25/25, 10:03:01 AM,C,14.545
9/25/25, 10:13:01 AM,C,14.044
9/25/25, 10:23:01 AM,C,14.044
9/25/25, 10:33:01 AM,C,14.545
9/25/25, 10:43:01 AM,C,15.045
9/25/25, 10:53:01 AM,C,15.545
9/25/25, 11:03:01 AM,C,15.545
9/25/25, 11:13:01 AM,C,16.046
9/25/25, 11:23:01 AM,C,17.547
9/25/25, 11:33:01 AM,C,18.047
9/25/25, 11:43:01 AM,C,18.547
9/25/25, 11:53:01 AM,C,18.047
9/25/25, 12:03:01 PM,C,17.547
9/25/25, 12:13:01 PM,C,17.046
9/25/25, 12:23:01 PM,C,17.046
9/25/25, 12:33:01 PM,C,17.046
9/25/25, 12:43:01 PM,C,17.046
9/25/25, 12:53:01 PM,C,17.046
9/25/25, 1:03:01 PM,C,17.547
9/25/25, 1:13:01 PM,C,18.547
