"term","estimate","std.error","conf.low","conf.up"
"KHF-1-2019",96,NA,NA,NA
"KHF-1-2021",97,NA,NA,NA
"KHF-1-2024",98,NA,NA,NA
"KHF-XD4S-2019",99,NA,NA,NA
"KHF-XD4S-2021",100,NA,NA,NA
"KHF-XD4S-2024",101,NA,NA,NA
"KHR-1-2019",102,NA,NA,NA
"KHR-1-2021",103,NA,NA,NA
"KHR-1-2024",104,NA,NA,NA
"KHR-XD1N-2019",105,NA,NA,NA
"KHR-XD1N-2021",106,NA,NA,NA
"KHR-XD1N-2024",107,NA,NA,NA
"KHR-XD1S-2019",108,NA,NA,NA
"KHR-XD1S-2021",109,NA,NA,NA
"KHR-XD1S-2024",110,NA,NA,NA
"KHT-XD6N-2019",111,NA,NA,NA
"KHT-XD6N-2021",112,NA,NA,NA
"KHT-XD6N-2024",113,NA,NA,NA
"KHT-XE4S-2019",114,NA,NA,NA
"KHT-XE4S-2021",115,NA,NA,NA
"KHT-XE4S-2024",116,NA,NA,NA
"KHT-XE5S-2019",117,NA,NA,NA
"KHT-XE5S-2021",118,NA,NA,NA
"KHT-XE5S-2024",119,NA,NA,NA
"KHT-XE6S-2019",120,NA,NA,NA
"KHT-XE6S-2021",121,NA,NA,NA
"KHT-XE6S-2024",122,NA,NA,NA
"KWF-1-2019",123,NA,NA,NA
"KWF-1-2021",124,NA,NA,NA
"KWF-1-2024",125,NA,NA,NA
"KWF-XE8S-2019",126,NA,NA,NA
"KWF-XE8S-2021",127,NA,NA,NA
"KWF-XE8S-2024",128,NA,NA,NA
"KWR-1-2019",129,NA,NA,NA
"KWR-1-2021",130,NA,NA,NA
"KWR-1-2024",131,NA,NA,NA
"KWR-XE1N-2019",132,NA,NA,NA
"KWR-XE1N-2021",133,NA,NA,NA
"KWR-XE1N-2024",134,NA,NA,NA
"KWT-1-2019",135,NA,NA,NA
"KWT-1-2021",136,NA,NA,NA
"KWT-1-2024",137,NA,NA,NA
"LET-1-2019",138,NA,NA,NA
"LET-1-2021",139,NA,NA,NA
"LET-1-2024",140,NA,NA,NA
"LHT-1-2019",141,NA,NA,NA
"LHT-1-2021",142,NA,NA,NA
"LHT-1-2024",143,NA,NA,NA
"LWT-1-2019",144,NA,NA,NA
"LWT-1-2021",145,NA,NA,NA
"LWT-1-2024",146,NA,NA,NA
